MODEL,PRED_DOCKQ
fold_7su0_2_model_0,0.5300107
fold_7su0_5_model_3,0.51837963
fold_7su0_2_model_3,0.47213402
fold_7su0_4_model_3,0.44822583
fold_7su0_4_model_4,0.38305917
fold_7su0_5_model_2,0.37176907
fold_7su0_1_model_2,0.32509089
fold_7su0_2_model_4,0.31790078
fold_7su0_2_model_2,0.315025
fold_7su0_3_model_0,0.253115
fold_7su0_1_model_4,0.23195243
fold_7su0_3_model_1,0.21688583
fold_7su0_1_model_0,0.18950766
fold_7su0_3_model_2,0.1881167
fold_7su0_5_model_1,0.18017466
fold_7su0_1_model_1,0.16396153
fold_7su0_4_model_1,0.16210032
fold_7su0_2_model_1,0.15264706
fold_7su0_3_model_3,0.14777064
fold_7su0_5_model_0,0.14178166
fold_7su0_3_model_4,0.1360881
fold_7su0_5_model_4,0.13391311
fold_7su0_4_model_2,0.12971607
fold_7su0_4_model_0,0.10130672
fold_7su0_1_model_3,0.097564
