TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SU1,fold_7su1_2_model_2,0.61270821,0.858
7SU1,fold_7su1_3_model_0,0.59539974,0.842
7SU1,fold_7su1_1_model_0,0.58671635,0.847
7SU1,fold_7su1_3_model_4,0.55255193,0.846
7SU1,fold_7su1_4_model_3,0.52437091,0.858
7SU1,fold_7su1_2_model_3,0.50146252,0.845
7SU1,fold_7su1_5_model_2,0.49504584,0.847
7SU1,fold_7su1_4_model_4,0.48262215,0.845
7SU1,fold_7su1_1_model_4,0.4743762,0.833
7SU1,fold_7su1_1_model_3,0.47237009,0.848
7SU1,fold_7su1_2_model_4,0.46547356,0.849
7SU1,fold_7su1_1_model_1,0.45073572,0.854
7SU1,fold_7su1_5_model_0,0.42728344,0.854
7SU1,fold_7su1_5_model_3,0.40940222,0.859
7SU1,fold_7su1_2_model_0,0.35226196,0.843
7SU1,fold_7su1_4_model_1,0.35185838,0.846
7SU1,fold_7su1_5_model_1,0.32320684,0.838
7SU1,fold_7su1_5_model_4,0.29702601,0.827
7SU1,fold_7su1_3_model_3,0.28920624,0.857
7SU1,fold_7su1_3_model_1,0.28336066,0.84
7SU1,fold_7su1_4_model_0,0.23874524,0.848
7SU1,fold_7su1_2_model_1,0.2317961,0.857
7SU1,fold_7su1_1_model_2,0.18780763,0.84
7SU1,fold_7su1_3_model_2,0.17141683,0.847
7SU1,fold_7su1_4_model_2,0.14915738,0.854
