TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7T73,fold_7t73_2_model_4,0.58703202,0.678
7T73,fold_7t73_5_model_4,0.57352567,0.596
7T73,fold_7t73_1_model_1,0.5584209,0.609
7T73,fold_7t73_5_model_2,0.49973753,0.614
7T73,fold_7t73_3_model_2,0.45013577,0.622
7T73,fold_7t73_1_model_3,0.42429993,0.616
7T73,fold_7t73_3_model_1,0.39692071,0.614
7T73,fold_7t73_4_model_3,0.37718263,0.607
7T73,fold_7t73_1_model_2,0.34985706,0.604
7T73,fold_7t73_3_model_0,0.33021817,0.607
7T73,fold_7t73_4_model_2,0.30476215,0.603
7T73,fold_7t73_2_model_1,0.30244231,0.639
7T73,fold_7t73_4_model_1,0.27047318,0.606
7T73,fold_7t73_4_model_0,0.26271513,0.614
7T73,fold_7t73_5_model_3,0.24639255,0.588
7T73,fold_7t73_2_model_2,0.23084761,0.634
7T73,fold_7t73_3_model_4,0.22723091,0.608
7T73,fold_7t73_3_model_3,0.22699757,0.606
7T73,fold_7t73_1_model_0,0.22693723,0.608
7T73,fold_7t73_2_model_3,0.21933413,0.625
7T73,fold_7t73_4_model_4,0.21173336,0.608
7T73,fold_7t73_2_model_0,0.17794867,0.617
7T73,fold_7t73_5_model_1,0.16135724,0.611
7T73,fold_7t73_1_model_4,0.15411873,0.613
7T73,fold_7t73_5_model_0,0.14577681,0.598
