MODEL,PRED_DOCKQ
fold_7t77_3_model_4,0.61960977
fold_7t77_2_model_2,0.51608098
fold_7t77_4_model_4,0.50802034
fold_7t77_5_model_1,0.49964988
fold_7t77_4_model_3,0.49893534
fold_7t77_3_model_2,0.48484972
fold_7t77_3_model_1,0.47597662
fold_7t77_3_model_3,0.46289709
fold_7t77_5_model_4,0.39135885
fold_7t77_2_model_4,0.36131179
fold_7t77_3_model_0,0.35900214
fold_7t77_2_model_3,0.2622779
fold_7t77_2_model_1,0.25930649
fold_7t77_2_model_0,0.25871718
fold_7t77_1_model_3,0.25386786
fold_7t77_1_model_0,0.23997158
fold_7t77_1_model_1,0.22657016
fold_7t77_4_model_1,0.21132307
fold_7t77_1_model_4,0.16387461
fold_7t77_5_model_2,0.15847948
fold_7t77_4_model_0,0.14757243
fold_7t77_1_model_2,0.14455949
fold_7t77_5_model_0,0.14403665
fold_7t77_4_model_2,0.13985638
fold_7t77_5_model_3,0.13226542
