MODEL,PRED_DOCKQ
fold_7vng_2_model_2,0.57127845
fold_7vng_3_model_4,0.44313344
fold_7vng_2_model_4,0.27475896
fold_7vng_3_model_0,0.23297423
fold_7vng_2_model_1,0.21208625
fold_7vng_1_model_4,0.20322677
fold_7vng_1_model_1,0.1797979
fold_7vng_4_model_4,0.16061059
fold_7vng_1_model_2,0.16047451
fold_7vng_4_model_1,0.15334065
fold_7vng_2_model_0,0.15135433
fold_7vng_2_model_3,0.14993899
fold_7vng_4_model_2,0.14370491
fold_7vng_1_model_0,0.13337092
fold_7vng_1_model_3,0.12726124
fold_7vng_4_model_3,0.12626144
fold_7vng_3_model_2,0.12264862
fold_7vng_3_model_3,0.12056783
fold_7vng_5_model_2,0.1148317
fold_7vng_5_model_3,0.10070977
fold_7vng_3_model_1,0.09657211
fold_7vng_5_model_4,0.09604997
fold_7vng_5_model_1,0.07582598
fold_7vng_4_model_0,0.05630797
fold_7vng_5_model_0,0.05620936
