MODEL,PRED_DOCKQ
fold_7wo5_2_model_1,0.53482842
fold_7wo5_1_model_4,0.3990058
fold_7wo5_5_model_4,0.3971563
fold_7wo5_4_model_3,0.38712546
fold_7wo5_3_model_1,0.26842767
fold_7wo5_3_model_0,0.26806456
fold_7wo5_1_model_3,0.26242322
fold_7wo5_5_model_3,0.24624541
fold_7wo5_4_model_2,0.22918256
fold_7wo5_2_model_4,0.18566048
fold_7wo5_2_model_3,0.13734451
fold_7wo5_3_model_4,0.13434859
fold_7wo5_2_model_0,0.1134537
fold_7wo5_1_model_2,0.11293413
fold_7wo5_4_model_0,0.10834191
fold_7wo5_1_model_1,0.10540514
fold_7wo5_1_model_0,0.09750034
fold_7wo5_5_model_2,0.08258678
fold_7wo5_2_model_2,0.07364006
fold_7wo5_5_model_1,0.07306997
fold_7wo5_3_model_3,0.07203655
fold_7wo5_4_model_4,0.06579977
fold_7wo5_3_model_2,0.06558039
fold_7wo5_5_model_0,0.05403326
fold_7wo5_4_model_1,0.05342588
