TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7WRV,fold_7wrv_4_model_4,0.60396254,0.432
7WRV,fold_7wrv_2_model_2,0.40843946,0.285
7WRV,fold_7wrv_3_model_1,0.36493966,0.474
7WRV,fold_7wrv_5_model_4,0.33442429,0.467
7WRV,fold_7wrv_4_model_2,0.31534526,0.422
7WRV,fold_7wrv_2_model_3,0.24742499,0.273
7WRV,fold_7wrv_1_model_4,0.23817816,0.273
7WRV,fold_7wrv_1_model_1,0.23606743,0.39
7WRV,fold_7wrv_2_model_0,0.23262218,0.279
7WRV,fold_7wrv_5_model_0,0.22929452,0.419
7WRV,fold_7wrv_4_model_1,0.21763295,0.449
7WRV,fold_7wrv_5_model_2,0.21170455,0.442
7WRV,fold_7wrv_1_model_0,0.19399293,0.386
7WRV,fold_7wrv_3_model_0,0.18839696,0.412
7WRV,fold_7wrv_4_model_3,0.18526711,0.419
7WRV,fold_7wrv_3_model_4,0.16535892,0.355
7WRV,fold_7wrv_5_model_3,0.16492943,0.408
7WRV,fold_7wrv_3_model_2,0.15522549,0.305
7WRV,fold_7wrv_1_model_3,0.14652182,0.292
7WRV,fold_7wrv_4_model_0,0.14374764,0.447
7WRV,fold_7wrv_2_model_1,0.1426848,0.296
7WRV,fold_7wrv_1_model_2,0.14238949,0.296
7WRV,fold_7wrv_2_model_4,0.13480471,0.285
7WRV,fold_7wrv_5_model_1,0.1286931,0.484
7WRV,fold_7wrv_3_model_3,0.12304902,0.281
