MODEL,PRED_DOCKQ
fold_7wrv_4_model_4,0.60396254
fold_7wrv_2_model_2,0.40843946
fold_7wrv_3_model_1,0.36493966
fold_7wrv_5_model_4,0.33442429
fold_7wrv_4_model_2,0.31534526
fold_7wrv_2_model_3,0.24742499
fold_7wrv_1_model_4,0.23817816
fold_7wrv_1_model_1,0.23606743
fold_7wrv_2_model_0,0.23262218
fold_7wrv_5_model_0,0.22929452
fold_7wrv_4_model_1,0.21763295
fold_7wrv_5_model_2,0.21170455
fold_7wrv_1_model_0,0.19399293
fold_7wrv_3_model_0,0.18839696
fold_7wrv_4_model_3,0.18526711
fold_7wrv_3_model_4,0.16535892
fold_7wrv_5_model_3,0.16492943
fold_7wrv_3_model_2,0.15522549
fold_7wrv_1_model_3,0.14652182
fold_7wrv_4_model_0,0.14374764
fold_7wrv_2_model_1,0.1426848
fold_7wrv_1_model_2,0.14238949
fold_7wrv_2_model_4,0.13480471
fold_7wrv_5_model_1,0.1286931
fold_7wrv_3_model_3,0.12304902
