TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7Z2M,fold_7z2m_3_model_4,0.56795108,0.439
7Z2M,fold_7z2m_2_model_0,0.56017661,0.408
7Z2M,fold_7z2m_5_model_0,0.43159693,0.418
7Z2M,fold_7z2m_5_model_1,0.37916312,0.419
7Z2M,fold_7z2m_4_model_0,0.30769929,0.423
7Z2M,fold_7z2m_4_model_1,0.29637533,0.433
7Z2M,fold_7z2m_5_model_4,0.27466357,0.559
7Z2M,fold_7z2m_1_model_3,0.27161753,0.435
7Z2M,fold_7z2m_3_model_0,0.26217034,0.433
7Z2M,fold_7z2m_3_model_3,0.25946182,0.553
7Z2M,fold_7z2m_5_model_2,0.25754166,0.42
7Z2M,fold_7z2m_4_model_4,0.2469202,0.416
7Z2M,fold_7z2m_4_model_3,0.22891873,0.427
7Z2M,fold_7z2m_3_model_1,0.22436085,0.425
7Z2M,fold_7z2m_3_model_2,0.21405478,0.421
7Z2M,fold_7z2m_2_model_1,0.20542829,0.422
7Z2M,fold_7z2m_2_model_2,0.20470724,0.426
7Z2M,fold_7z2m_1_model_2,0.19666317,0.559
7Z2M,fold_7z2m_2_model_3,0.17201494,0.416
7Z2M,fold_7z2m_1_model_1,0.17113318,0.43
7Z2M,fold_7z2m_1_model_4,0.16864289,0.442
7Z2M,fold_7z2m_2_model_4,0.15685028,0.427
7Z2M,fold_7z2m_1_model_0,0.14564234,0.421
7Z2M,fold_7z2m_4_model_2,0.14362532,0.557
7Z2M,fold_7z2m_5_model_3,0.1044271,0.403
