MODEL,PRED_DOCKQ
model_5_multimer_20220423_294929_tidy,0.63259906
model_5_multimer_20220423_296697_tidy,0.61390615
ranked_1_tidy,0.61372536
model_5_multimer_20220423_121312_tidy,0.61372536
model_4_multimer_20220423_663901_tidy,0.59443313
model_4_multimer_20220423_296697_tidy,0.58436543
model_1_multimer_20220423_296697_tidy,0.58175582
model_4_multimer_20220423_121312_tidy,0.58158618
ranked_4_tidy,0.58158618
model_2_multimer_20220423_121312_tidy,0.54953951
ranked_2_tidy,0.54953951
model_4_multimer_20220423_294929_tidy,0.53920513
model_3_multimer_20220423_663901_tidy,0.33959556
model_5_multimer_20220423_663901_tidy,0.33748019
model_4_multimer_20220423_862209_tidy,0.33135429
model_3_multimer_20220423_294929_tidy,0.29973865
model_3_multimer_20220423_862209_tidy,0.24791038
model_1_multimer_20220423_294929_tidy,0.24600229
model_5_multimer_20220423_862209_tidy,0.24433224
model_2_multimer_20220423_296697_tidy,0.2398468
model_1_multimer_20220423_862209_tidy,0.23536967
model_3_multimer_20220423_296697_tidy,0.22270904
model_2_multimer_20220423_663901_tidy,0.21741635
model_2_multimer_20220423_294929_tidy,0.19107638
model_1_multimer_20220423_663901_tidy,0.15862466
model_3_multimer_20220423_121312_tidy,0.15543166
ranked_0_tidy,0.15543166
model_2_multimer_20220423_862209_tidy,0.1507245
ranked_3_tidy,0.14297651
model_1_multimer_20220423_121312_tidy,0.14297651
