TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7OZN,custom_template_with_alphafold_models_3,0.74667019,0.011
7OZN,pdb_interact_uniprot_sto_1,0.73890132,0.092
7OZN,no_templates_0,0.73442721,0.011
7OZN,uniprot_distance_uniref_a3m_3,0.70435315,0.01
7OZN,uniclust_oxmatch_a3m_2,0.69631463,0.011
7OZN,pdb_interact_uniprot_sto_0,0.68509966,0.089
7OZN,structure_temp_dimer_a_4,0.66451997,0.011
7OZN,ori_temp_pipeline_with_alphafold_models_1,0.66294336,0.011
7OZN,species_interact_uniref_sto_1,0.65324098,0.008
7OZN,species_interact_uniref_a3m_0,0.64790094,0.012
7OZN,uniclust_oxmatch_a3m_0,0.64493036,0.011
7OZN,structure_temp_dimer_a_1,0.63919932,0.011
7OZN,sequence_based_template_with_alphafold_1,0.63904732,0.011
7OZN,uniclust_oxmatch_a3m_1,0.63745618,0.01
7OZN,uniclust_oxmatch_a3m_4,0.63737863,0.01
7OZN,uniprot_distance_uniref_a3m_1,0.63323212,0.01
7OZN,sequence_based_template_3,0.6291523,0.012
7OZN,uniprot_distance_uniref_a3m_2,0.61726612,0.01
7OZN,sequence_based_template_1,0.5994432,0.008
7OZN,species_interact_uniref_a3m_3,0.58626789,0.011
7OZN,species_interact_uniref_a3m_4,0.57414812,0.01
7OZN,uniclust_oxmatch_a3m_3,0.56927294,0.01
7OZN,string_interact_uniref_a3m_2,0.54985088,0.01
7OZN,default_0,0.54485893,0.007
7OZN,uniprot_distance_uniref_a3m_4,0.53469098,0.011
7OZN,string_interact_uniref_a3m_0,0.52401495,0.01
7OZN,structure_temp_dimer_1,0.50057799,0.009
7OZN,sequence_based_template_with_alphafold_2,0.47846821,0.01
7OZN,uniprot_distance_uniref_a3m_0,0.47763085,0.01
7OZN,string_interact_uniref_a3m_3,0.44471622,0.011
7OZN,custom_template_with_alphafold_models_1,0.44464129,0.011
7OZN,ori_temp_pipeline_with_alphafold_models_4,0.4223803,0.011
7OZN,species_interact_uniprot_sto_2,0.38640398,0.013
7OZN,string_interact_uniref_a3m_1,0.32392919,0.011
7OZN,structure_temp_dimer_a_2,0.31709316,0.01
7OZN,species_interact_uniref_a3m_2,0.31229195,0.011
7OZN,sequence_based_template_with_alphafold_3,0.30813232,0.011
7OZN,species_interact_uniref_a3m_1,0.29478294,0.011
7OZN,structure_temp_dimer_3,0.26175284,0.01
7OZN,uniprot_distance_uniref_sto_4,0.23237549,0.012
7OZN,string_interact_uniref_a3m_4,0.22787108,0.011
7OZN,custom_template_with_alphafold_models_2,0.21649814,0.01
7OZN,species_interact_uniref_sto_0,0.20953801,0.276
7OZN,default_2,0.20405945,0.009
7OZN,species_interact_uniprot_sto_3,0.19845013,0.011
7OZN,ori_temp_pipeline_with_alphafold_models_0,0.19501108,0.477
7OZN,default_1,0.17880546,0.007
