MODEL,PRED_DOCKQ
fold_7su1_2_model_2,0.38497621
fold_7su1_3_model_1,0.35799912
fold_7su1_4_model_1,0.34021544
fold_7su1_3_model_4,0.33603534
fold_7su1_4_model_4,0.30627224
fold_7su1_2_model_4,0.3025364
fold_7su1_1_model_3,0.29913044
fold_7su1_1_model_0,0.29653129
fold_7su1_2_model_1,0.29643416
fold_7su1_3_model_2,0.28697032
fold_7su1_2_model_3,0.28589585
fold_7su1_5_model_3,0.28345072
fold_7su1_5_model_2,0.26701531
fold_7su1_3_model_3,0.24723352
fold_7su1_2_model_0,0.24409665
fold_7su1_3_model_0,0.24181654
fold_7su1_5_model_0,0.23382863
fold_7su1_4_model_0,0.23227413
fold_7su1_1_model_2,0.23138648
fold_7su1_1_model_1,0.23127477
fold_7su1_1_model_4,0.22611822
fold_7su1_5_model_1,0.21922547
fold_7su1_4_model_3,0.20156907
fold_7su1_4_model_2,0.19338284
fold_7su1_5_model_4,0.18567602
