MODEL,PRED_DOCKQ
fold_8gz5_3_model_4,0.82264316
fold_8gz5_2_model_3,0.82068747
fold_8gz5_2_model_4,0.81745356
fold_8gz5_1_model_0,0.81648463
fold_8gz5_3_model_0,0.81030774
fold_8gz5_5_model_1,0.80350053
fold_8gz5_5_model_3,0.79419422
fold_8gz5_3_model_1,0.79381639
fold_8gz5_2_model_1,0.78670561
fold_8gz5_3_model_2,0.78522259
fold_8gz5_2_model_2,0.78212887
fold_8gz5_5_model_4,0.7702415
fold_8gz5_2_model_0,0.76697689
fold_8gz5_3_model_3,0.75714946
fold_8gz5_5_model_2,0.75252241
fold_8gz5_5_model_0,0.72396284
fold_8gz5_1_model_3,0.69010276
fold_8gz5_1_model_1,0.52844149
fold_8gz5_4_model_0,0.4827958
fold_8gz5_4_model_4,0.40373814
fold_8gz5_1_model_4,0.3884168
fold_8gz5_4_model_1,0.35802454
fold_8gz5_1_model_2,0.28191832
fold_8gz5_4_model_2,0.27909398
fold_8gz5_4_model_3,0.13556461
