TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
6A77,model_5_multimer_20220423_477699,0.76568067,0.609
6A77,model_5_multimer_20220423_663616,0.76478851,0.625
6A77,model_5_multimer_20220423_996398,0.72755378,0.09
6A77,ranked_0,0.72352809,0.671
6A77,model_5_multimer_20220423_016003,0.72352809,0.671
6A77,ranked_1,0.72032464,0.627
6A77,model_4_multimer_20220423_016003,0.72032464,0.627
6A77,model_5_multimer_20220423_411110,0.71464735,0.634
6A77,model_3_multimer_20220423_663616,0.69231015,0.088
6A77,model_1_multimer_20220423_663616,0.66358149,0.082
6A77,model_4_multimer_20220423_411110,0.66203541,0.084
6A77,model_4_multimer_20220423_663616,0.65804964,0.082
6A77,model_3_multimer_20220423_411110,0.65542388,0.081
6A77,model_4_multimer_20220423_477699,0.65165865,0.084
6A77,model_2_multimer_20220423_663616,0.59658545,0.082
6A77,model_2_multimer_20220423_016003,0.58443969,0.083
6A77,ranked_3,0.58443969,0.083
6A77,model_1_multimer_20220423_477699,0.57189739,0.08
6A77,model_2_multimer_20220423_996398,0.56710321,0.082
6A77,ranked_2,0.5520367,0.081
6A77,model_3_multimer_20220423_016003,0.5520367,0.081
6A77,model_3_multimer_20220423_996398,0.52576059,0.082
6A77,model_3_multimer_20220423_477699,0.51257145,0.086
6A77,model_2_multimer_20220423_477699,0.3045021,0.082
6A77,model_4_multimer_20220423_996398,0.27797997,0.607
6A77,model_2_multimer_20220423_411110,0.27635345,0.082
6A77,model_1_multimer_20220423_016003,0.26599249,0.081
6A77,ranked_4,0.26599249,0.081
6A77,model_1_multimer_20220423_411110,0.26292893,0.081
6A77,model_1_multimer_20220423_996398,0.24104413,0.081
