MODEL,PRED_DOCKQ
fold_7swn_2_model_4,0.43088886
fold_7swn_1_model_4,0.33957642
fold_7swn_4_model_4,0.30432841
fold_7swn_2_model_3,0.27491927
fold_7swn_5_model_2,0.26979622
fold_7swn_3_model_1,0.24349564
fold_7swn_1_model_3,0.23373456
fold_7swn_3_model_3,0.22995768
fold_7swn_3_model_4,0.2252057
fold_7swn_2_model_2,0.22108041
fold_7swn_1_model_1,0.21895432
fold_7swn_2_model_0,0.19592492
fold_7swn_2_model_1,0.19494957
fold_7swn_3_model_2,0.18842442
fold_7swn_1_model_0,0.18756932
fold_7swn_1_model_2,0.18139482
fold_7swn_3_model_0,0.18097408
fold_7swn_4_model_2,0.18064357
fold_7swn_4_model_3,0.15381542
fold_7swn_5_model_0,0.15069972
fold_7swn_4_model_0,0.13651572
fold_7swn_5_model_3,0.13470119
fold_7swn_5_model_4,0.13097492
fold_7swn_4_model_1,0.11221009
fold_7swn_5_model_1,0.10005515
