MODEL,PRED_DOCKQ
fold_7zr7_4_model_1,0.55659091
fold_7zr7_5_model_4,0.48409554
fold_7zr7_1_model_1,0.44447884
fold_7zr7_1_model_2,0.44299409
fold_7zr7_2_model_4,0.43390971
fold_7zr7_4_model_0,0.41756663
fold_7zr7_1_model_0,0.3969059
fold_7zr7_2_model_3,0.38473564
fold_7zr7_3_model_0,0.33791286
fold_7zr7_2_model_1,0.30757463
fold_7zr7_4_model_2,0.2987633
fold_7zr7_2_model_2,0.28145
fold_7zr7_5_model_2,0.27470133
fold_7zr7_3_model_3,0.26414877
fold_7zr7_2_model_0,0.26050362
fold_7zr7_1_model_4,0.22879061
fold_7zr7_5_model_0,0.22592923
fold_7zr7_3_model_2,0.2233423
fold_7zr7_3_model_1,0.2035764
fold_7zr7_3_model_4,0.19224487
fold_7zr7_4_model_3,0.18111065
fold_7zr7_5_model_1,0.17038278
fold_7zr7_5_model_3,0.16472024
fold_7zr7_4_model_4,0.12131771
fold_7zr7_1_model_3,0.10586493
