MODEL,PRED_DOCKQ
species_interact_uniref_a3m_1,0.77124661
pdb_interact_uniref_a3m_0,0.74870127
string_interact_uniref_a3m_0,0.74870127
custom_template_file_4,0.73981977
uniprot_distance_uniref_a3m_0,0.7343294
sequence_based_template_0,0.71525156
custom_template_file_1,0.71217149
ori_template_pipeline_0,0.70988876
default_0,0.70152289
structure_temp_dimer_1,0.69156671
sequence_based_template_with_alphafold_1,0.67550749
custom_template_with_alphafold_models_1,0.67550749
structure_temp_dimer_0,0.64983439
structure_temp_dimer_a_1,0.64859253
ori_temp_pipeline_with_alphafold_models_1,0.63332516
structure_temp_dimer_3,0.62477225
uniprot_distance_uniref_sto_1,0.6159035
uniclust_oxmatch_a3m_0,0.61508453
uniclust_oxmatch_a3m_1,0.61086029
uniprot_distance_uniref_sto_2,0.60301656
species_interact_uniref_a3m_2,0.58461857
sequence_based_template_1,0.57839537
uniclust_oxmatch_a3m_2,0.56310713
custom_template_file_0,0.53109324
default_2,0.52483803
default_4,0.5026105
structure_temp_dimer_4,0.45526671
string_interact_uniref_sto_2,0.45440441
no_templates_2,0.45167181
uniclust_oxmatch_a3m_4,0.44836202
structure_temp_dimer_a_0,0.43708774
ori_template_pipeline_1,0.42854807
ori_temp_pipeline_with_alphafold_models_2,0.42185295
custom_template_file_2,0.42099378
string_interact_uniprot_sto_0,0.41705686
species_interact_uniref_a3m_0,0.41188717
structure_temp_dimer_a_2,0.40858078
sequence_based_template_with_alphafold_2,0.40472692
custom_template_with_alphafold_models_2,0.40472692
species_interact_uniref_sto_1,0.40267119
ori_temp_pipeline_with_alphafold_models_0,0.40029734
custom_template_with_alphafold_models_0,0.3946619
sequence_based_template_with_alphafold_0,0.3946619
species_interact_uniprot_sto_2,0.38914534
string_interact_uniref_sto_0,0.38377839
structure_temp_dimer_a_3,0.37816191
ori_temp_pipeline_with_alphafold_models_3,0.37330133
uniprot_distance_uniref_sto_3,0.37200382
structure_temp_dimer_2,0.36119083
ori_temp_pipeline_with_alphafold_models_4,0.3494367
sequence_based_template_with_alphafold_3,0.33973947
custom_template_with_alphafold_models_3,0.33973947
string_interact_uniref_sto_1,0.31723019
uniprot_distance_uniprot_sto_0,0.27799505
uniprot_distance_uniref_a3m_3,0.27743948
custom_template_file_3,0.27354696
species_interact_uniprot_sto_0,0.27219537
species_interact_uniref_sto_0,0.25572485
species_interact_uniref_sto_2,0.24568504
uniprot_distance_uniref_a3m_2,0.24298528
string_interact_uniref_a3m_2,0.24048147
pdb_interact_uniref_a3m_2,0.24048147
species_interact_uniprot_sto_3,0.21574923
uniprot_distance_uniref_sto_0,0.19417015
default_3,0.16434973
string_interact_uniref_a3m_3,0.16349058
pdb_interact_uniref_a3m_3,0.16349058
species_interact_uniref_a3m_3,0.14345263
species_interact_uniref_sto_3,0.13425119
sequence_based_template_2,0.12672362
string_interact_uniref_a3m_1,0.11917634
pdb_interact_uniref_a3m_1,0.11917634
uniclust_oxmatch_a3m_3,0.11685728
no_templates_4,0.11231107
default_1,0.10965116
custom_template_with_alphafold_models_4,0.10496219
sequence_based_template_with_alphafold_4,0.10496219
uniprot_distance_uniref_a3m_1,0.09997296
ori_template_pipeline_3,0.09695162
uniprot_distance_uniref_sto_4,0.09674091
uniprot_distance_uniprot_sto_3,0.08960841
species_interact_uniref_a3m_4,0.0819268
species_interact_uniprot_sto_4,0.07975475
no_templates_0,0.07825295
no_templates_1,0.06857388
structure_temp_dimer_a_4,0.0621256
string_interact_uniref_sto_3,0.06156059
string_interact_uniprot_sto_1,0.06097616
string_interact_uniprot_sto_4,0.04405671
sequence_based_template_4,0.04286119
ori_template_pipeline_2,0.036238
string_interact_uniprot_sto_2,0.03152737
uniprot_distance_uniprot_sto_1,0.03042071
no_templates_3,0.02821006
string_interact_uniref_sto_4,0.0249695
species_interact_uniprot_sto_1,0.02421768
species_interact_uniref_sto_4,0.02135531
uniprot_distance_uniprot_sto_2,0.02061121
uniprot_distance_uniprot_sto_4,0.01924345
pdb_interact_uniref_a3m_4,0.01917912
string_interact_uniref_a3m_4,0.01917912
string_interact_uniprot_sto_3,0.01727832
uniprot_distance_uniref_a3m_4,0.01452005
sequence_based_template_3,0.0131706
ori_template_pipeline_4,0.01104733
