MODEL,PRED_DOCKQ
model_5_multimer_20220423_965401_tidy,0.10609997
model_5_multimer_20220423_103678_tidy,0.10467723
model_4_multimer_20220423_965401_tidy,0.10217757
model_5_multimer_20220423_406500_tidy,0.09595688
model_1_multimer_20220423_406500_tidy,0.08221065
model_5_multimer_20220423_377030_tidy,0.07148364
model_1_multimer_20220423_103678_tidy,0.05961122
model_3_multimer_20220423_406500_tidy,0.05720439
model_2_multimer_20220423_377030_tidy,0.05323326
ranked_1_tidy,0.0487975
model_5_multimer_20220423_693642_tidy,0.0487975
model_3_multimer_20220423_693642_tidy,0.04623381
ranked_4_tidy,0.04623381
ranked_3_tidy,0.04511129
model_4_multimer_20220423_693642_tidy,0.04511129
model_1_multimer_20220423_965401_tidy,0.0443799
model_2_multimer_20220423_406500_tidy,0.04290845
model_3_multimer_20220423_965401_tidy,0.04191652
model_2_multimer_20220423_693642_tidy,0.04094887
ranked_2_tidy,0.04094887
model_1_multimer_20220423_693642_tidy,0.03609247
ranked_0_tidy,0.03609247
model_4_multimer_20220423_406500_tidy,0.03570269
model_1_multimer_20220423_377030_tidy,0.03557103
model_3_multimer_20220423_103678_tidy,0.03279893
model_2_multimer_20220423_103678_tidy,0.02884382
model_4_multimer_20220423_103678_tidy,0.02492523
model_3_multimer_20220423_377030_tidy,0.02402268
model_4_multimer_20220423_377030_tidy,0.02308235
model_2_multimer_20220423_965401_tidy,0.01324135
