TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7OM4,fold_7om4_2_model_3,0.36406115,0.45
7OM4,fold_7om4_2_model_4,0.36314216,0.455
7OM4,fold_7om4_5_model_4,0.36230868,0.445
7OM4,fold_7om4_2_model_2,0.3622984,0.463
7OM4,fold_7om4_2_model_1,0.36197543,0.634
7OM4,fold_7om4_5_model_1,0.36193511,0.446
7OM4,fold_7om4_1_model_0,0.36164129,0.617
7OM4,fold_7om4_4_model_4,0.36150786,0.608
7OM4,fold_7om4_4_model_1,0.36118951,0.595
7OM4,fold_7om4_3_model_4,0.36044425,0.491
7OM4,fold_7om4_1_model_3,0.36033544,0.453
7OM4,fold_7om4_3_model_1,0.36030835,0.48
7OM4,fold_7om4_1_model_2,0.36020741,0.448
7OM4,fold_7om4_5_model_0,0.36014524,0.683
7OM4,fold_7om4_3_model_3,0.3601155,0.484
7OM4,fold_7om4_4_model_0,0.36007839,0.603
7OM4,fold_7om4_1_model_1,0.36001131,0.479
7OM4,fold_7om4_4_model_2,0.35997498,0.587
7OM4,fold_7om4_5_model_3,0.35975978,0.441
7OM4,fold_7om4_5_model_2,0.35974368,0.446
7OM4,fold_7om4_3_model_0,0.35956523,0.49
7OM4,fold_7om4_2_model_0,0.35942981,0.628
7OM4,fold_7om4_4_model_3,0.35918477,0.588
7OM4,fold_7om4_3_model_2,0.35870352,0.483
7OM4,fold_7om4_1_model_4,0.35808024,0.449
