MODEL,PRED_DOCKQ
fold_7sd3_5_model_4,0.37529141
fold_7sd3_5_model_0,0.37527737
fold_7sd3_1_model_0,0.37523407
fold_7sd3_3_model_3,0.37520298
fold_7sd3_4_model_3,0.37511116
fold_7sd3_3_model_0,0.37500507
fold_7sd3_4_model_0,0.37498772
fold_7sd3_5_model_2,0.37498319
fold_7sd3_3_model_1,0.37486318
fold_7sd3_3_model_2,0.37482482
fold_7sd3_1_model_1,0.37477538
fold_7sd3_2_model_0,0.37475282
fold_7sd3_1_model_2,0.37469411
fold_7sd3_2_model_3,0.37461549
fold_7sd3_4_model_4,0.37456506
fold_7sd3_5_model_1,0.37454143
fold_7sd3_2_model_1,0.37450832
fold_7sd3_2_model_2,0.3745048
fold_7sd3_4_model_1,0.3744888
fold_7sd3_1_model_3,0.3744387
fold_7sd3_3_model_4,0.37443319
fold_7sd3_1_model_4,0.37424076
fold_7sd3_4_model_2,0.37423655
fold_7sd3_5_model_3,0.37418473
fold_7sd3_2_model_4,0.37413394
