MODEL,PRED_DOCKQ
fold_7tee_1_model_4,0.3702198
fold_7tee_3_model_4,0.36975077
fold_7tee_4_model_4,0.3696956
fold_7tee_5_model_4,0.36953151
fold_7tee_4_model_3,0.3694905
fold_7tee_2_model_4,0.36933309
fold_7tee_3_model_2,0.3693265
fold_7tee_5_model_2,0.369169
fold_7tee_3_model_1,0.36916134
fold_7tee_3_model_0,0.36914828
fold_7tee_3_model_3,0.36911783
fold_7tee_5_model_3,0.368965
fold_7tee_1_model_3,0.3688319
fold_7tee_4_model_1,0.36850476
fold_7tee_5_model_0,0.36831912
fold_7tee_1_model_1,0.36811283
fold_7tee_2_model_0,0.36804697
fold_7tee_2_model_2,0.36792788
fold_7tee_5_model_1,0.36791709
fold_7tee_1_model_2,0.36789921
fold_7tee_2_model_1,0.36789656
fold_7tee_1_model_0,0.36774579
fold_7tee_4_model_0,0.36765534
fold_7tee_2_model_3,0.36758015
fold_7tee_4_model_2,0.36720929
