TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7WRV,fold_7wrv_2_model_0,0.37125987,0.279
7WRV,fold_7wrv_1_model_1,0.37046802,0.39
7WRV,fold_7wrv_2_model_3,0.370462,0.273
7WRV,fold_7wrv_4_model_4,0.37016577,0.432
7WRV,fold_7wrv_4_model_2,0.37007028,0.422
7WRV,fold_7wrv_1_model_3,0.36994612,0.292
7WRV,fold_7wrv_4_model_1,0.36992979,0.449
7WRV,fold_7wrv_5_model_3,0.36964625,0.408
7WRV,fold_7wrv_4_model_3,0.36960387,0.419
7WRV,fold_7wrv_4_model_0,0.36954135,0.447
7WRV,fold_7wrv_3_model_1,0.36921379,0.474
7WRV,fold_7wrv_3_model_4,0.36920133,0.355
7WRV,fold_7wrv_1_model_0,0.36915302,0.386
7WRV,fold_7wrv_5_model_4,0.36913449,0.467
7WRV,fold_7wrv_5_model_0,0.36887372,0.419
7WRV,fold_7wrv_2_model_4,0.36885306,0.285
7WRV,fold_7wrv_5_model_2,0.36884993,0.442
7WRV,fold_7wrv_3_model_0,0.36878714,0.412
7WRV,fold_7wrv_1_model_4,0.36865997,0.273
7WRV,fold_7wrv_5_model_1,0.368442,0.484
7WRV,fold_7wrv_3_model_2,0.3680481,0.305
7WRV,fold_7wrv_1_model_2,0.36770612,0.296
7WRV,fold_7wrv_2_model_2,0.36756235,0.285
7WRV,fold_7wrv_2_model_1,0.36742282,0.296
7WRV,fold_7wrv_3_model_3,0.36721158,0.281
