MODEL,PRED_DOCKQ
fold_7z4t_2_model_3,0.37196967
fold_7z4t_4_model_1,0.37179229
fold_7z4t_3_model_0,0.37178004
fold_7z4t_3_model_4,0.37172484
fold_7z4t_4_model_2,0.37147611
fold_7z4t_2_model_1,0.37134993
fold_7z4t_5_model_0,0.37128463
fold_7z4t_3_model_3,0.37125489
fold_7z4t_2_model_2,0.37119114
fold_7z4t_3_model_2,0.37090793
fold_7z4t_3_model_1,0.37081441
fold_7z4t_4_model_0,0.37078345
fold_7z4t_4_model_4,0.37072146
fold_7z4t_4_model_3,0.37065685
fold_7z4t_5_model_2,0.37059423
fold_7z4t_2_model_0,0.37055975
fold_7z4t_5_model_1,0.37045249
fold_7z4t_2_model_4,0.37043211
fold_7z4t_1_model_1,0.37036496
fold_7z4t_5_model_3,0.37006867
fold_7z4t_1_model_2,0.37002742
fold_7z4t_5_model_4,0.36965555
fold_7z4t_1_model_3,0.36959282
fold_7z4t_1_model_0,0.36943483
fold_7z4t_1_model_4,0.36926293
