TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5GRJ,model_2_multimer_20220423_965401,0.36521062,0.034
5GRJ,model_1_multimer_20220423_103678,0.36477518,0.014
5GRJ,model_2_multimer_20220423_406500,0.36422628,0.012
5GRJ,model_5_multimer_20220423_965401,0.36353862,0.664
5GRJ,model_1_multimer_20220423_965401,0.36350727,0.014
5GRJ,model_5_multimer_20220423_103678,0.36343023,0.755
5GRJ,model_5_multimer_20220423_377030,0.36337557,0.76
5GRJ,model_5_multimer_20220423_406500,0.36310992,0.762
5GRJ,model_1_multimer_20220423_693642,0.3630403,0.764
5GRJ,ranked_0,0.3630403,0.764
5GRJ,ranked_1,0.36300144,0.752
5GRJ,model_5_multimer_20220423_693642,0.36300144,0.752
5GRJ,model_3_multimer_20220423_377030,0.36290717,0.732
5GRJ,model_1_multimer_20220423_406500,0.36288232,0.771
5GRJ,model_2_multimer_20220423_377030,0.36270532,0.729
5GRJ,model_3_multimer_20220423_103678,0.36257285,0.788
5GRJ,model_3_multimer_20220423_965401,0.36245483,0.776
5GRJ,ranked_4,0.36233312,0.724
5GRJ,model_3_multimer_20220423_693642,0.36233312,0.724
5GRJ,model_3_multimer_20220423_406500,0.36206746,0.693
5GRJ,model_4_multimer_20220423_693642,0.36178029,0.558
5GRJ,ranked_3,0.36178029,0.558
5GRJ,model_4_multimer_20220423_103678,0.36171934,0.165
5GRJ,model_4_multimer_20220423_406500,0.36127898,0.165
5GRJ,model_4_multimer_20220423_377030,0.36120614,0.551
5GRJ,model_1_multimer_20220423_377030,0.36108789,0.433
5GRJ,model_2_multimer_20220423_103678,0.36103645,0.017
5GRJ,model_2_multimer_20220423_693642,0.36064255,0.562
5GRJ,ranked_2,0.36064255,0.562
5GRJ,model_4_multimer_20220423_965401,0.36061242,0.193
