TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7O27,uniclust_oxmatch_a3m_0,0.36771584,0.742
7O27,sequence_based_template_3,0.36697549,0.631
7O27,pdb_interact_uniref_a3m_1,0.3668651,0.758
7O27,string_interact_uniref_sto_2,0.36658877,0.713
7O27,pdb_interact_uniprot_sto_0,0.3663801,0.684
7O27,pdb_interact_uniref_sto_3,0.36617208,0.703
7O27,string_interact_uniref_a3m_2,0.36611748,0.755
7O27,species_interact_uniref_a3m_0,0.36609972,0.745
7O27,string_interact_uniref_a3m_3,0.366072,0.744
7O27,species_interact_uniref_a3m_1,0.3660638,0.742
7O27,pdb_interact_uniref_a3m_2,0.36599004,0.746
7O27,string_interact_uniprot_sto_0,0.36593634,0.706
7O27,uniprot_distance_uniprot_sto_1,0.36592269,0.681
7O27,default_4,0.36579633,0.716
7O27,string_interact_uniprot_sto_1,0.36578056,0.7
7O27,ori_template_pipeline_1,0.36574113,0.725
7O27,ori_template_pipeline_4,0.36563879,0.737
7O27,sequence_based_template_4,0.36561182,0.693
7O27,species_interact_uniref_a3m_3,0.36550543,0.742
7O27,pdb_interact_uniref_a3m_4,0.36549839,0.746
7O27,uniprot_distance_uniprot_sto_3,0.36546648,0.705
7O27,species_interact_uniprot_sto_0,0.36542961,0.711
7O27,uniprot_distance_uniref_a3m_3,0.36541504,0.746
7O27,string_interact_uniref_sto_0,0.36532903,0.704
7O27,string_interact_uniref_a3m_1,0.36523965,0.746
7O27,default_1,0.3652184,0.705
7O27,uniprot_distance_uniprot_sto_0,0.36516494,0.692
7O27,species_interact_uniref_sto_0,0.36512125,0.694
7O27,pdb_interact_uniref_a3m_0,0.36511478,0.743
7O27,uniprot_distance_uniref_a3m_4,0.36508346,0.741
7O27,species_interact_uniref_sto_4,0.36507496,0.732
7O27,uniprot_distance_uniref_a3m_1,0.36498603,0.755
7O27,string_interact_uniref_sto_4,0.36498016,0.732
7O27,species_interact_uniprot_sto_3,0.36497927,0.736
7O27,species_interact_uniref_a3m_4,0.36494279,0.761
7O27,sequence_based_template_0,0.36488807,0.731
7O27,ori_template_pipeline_2,0.36480659,0.704
7O27,uniprot_distance_uniref_a3m_2,0.36474347,0.761
7O27,uniprot_distance_uniref_a3m_0,0.36469704,0.742
7O27,pdb_interact_uniref_sto_2,0.36466622,0.705
7O27,string_interact_uniref_a3m_0,0.36466351,0.747
7O27,uniclust_oxmatch_a3m_4,0.36465403,0.732
7O27,pdb_interact_uniprot_sto_1,0.364595,0.704
7O27,ori_template_pipeline_3,0.3645778,0.722
7O27,sequence_based_template_1,0.36435398,0.728
7O27,species_interact_uniref_sto_3,0.36429968,0.736
7O27,no_templates_3,0.36429209,0.396
7O27,species_interact_uniprot_sto_2,0.36427709,0.737
7O27,default_3,0.36425644,0.721
7O27,species_interact_uniref_a3m_2,0.36415824,0.753
7O27,default_0,0.36414605,0.681
7O27,uniprot_distance_uniref_sto_2,0.36412498,0.699
7O27,string_interact_uniref_sto_3,0.36410654,0.707
7O27,uniprot_distance_uniprot_sto_2,0.36397469,0.702
7O27,string_interact_uniref_a3m_4,0.36387238,0.737
7O27,uniclust_oxmatch_a3m_2,0.3638103,0.744
7O27,structure_temp_dimer_3,0.36367038,0.517
7O27,custom_template_file_3,0.36363277,0.516
7O27,uniclust_oxmatch_a3m_1,0.36360073,0.734
7O27,string_interact_uniprot_sto_2,0.36357287,0.709
7O27,ori_template_pipeline_0,0.36352372,0.706
7O27,pdb_interact_uniprot_sto_4,0.36348403,0.714
7O27,ori_temp_pipeline_with_alphafold_models_1,0.36347187,0.395
7O27,sequence_based_template_with_alphafold_1,0.36347187,0.395
7O27,string_interact_uniref_sto_1,0.36336347,0.713
7O27,pdb_interact_uniref_sto_4,0.363314,0.708
7O27,pdb_interact_uniref_sto_0,0.36330441,0.675
7O27,uniprot_distance_uniprot_sto_4,0.36326692,0.714
7O27,default_2,0.36325043,0.734
7O27,species_interact_uniref_sto_2,0.36318091,0.717
7O27,pdb_interact_uniprot_sto_2,0.36317101,0.7
7O27,species_interact_uniref_sto_1,0.36314476,0.706
7O27,pdb_interact_uniref_sto_1,0.36313397,0.693
7O27,no_templates_2,0.36312458,0.443
7O27,pdb_interact_uniref_a3m_3,0.3631039,0.756
7O27,sequence_based_template_2,0.36308342,0.731
7O27,uniprot_distance_uniref_sto_1,0.3630569,0.699
7O27,custom_template_with_alphafold_models_1,0.36293155,0.395
7O27,string_interact_uniprot_sto_3,0.36292657,0.711
7O27,structure_temp_dimer_a_1,0.36292288,0.395
7O27,uniprot_distance_uniref_sto_0,0.36291382,0.696
7O27,ori_temp_pipeline_with_alphafold_models_3,0.36279467,0.673
7O27,sequence_based_template_with_alphafold_3,0.36279467,0.673
7O27,species_interact_uniprot_sto_4,0.36264461,0.737
7O27,no_templates_4,0.36263338,0.427
7O27,custom_template_file_2,0.3626017,0.479
7O27,uniprot_distance_uniref_sto_4,0.36260104,0.712
7O27,species_interact_uniprot_sto_1,0.36259088,0.717
7O27,structure_temp_dimer_2,0.36256608,0.476
7O27,custom_template_with_alphafold_models_3,0.36255333,0.672
7O27,no_templates_1,0.36247194,0.48
7O27,structure_temp_dimer_a_3,0.36243001,0.673
7O27,structure_temp_dimer_1,0.36242056,0.492
7O27,string_interact_uniprot_sto_4,0.36238411,0.716
7O27,uniprot_distance_uniref_sto_3,0.36236903,0.701
7O27,no_templates_0,0.36234847,0.479
7O27,uniclust_oxmatch_a3m_3,0.36230144,0.752
7O27,custom_template_file_4,0.36220241,0.468
7O27,custom_template_file_1,0.36213547,0.492
7O27,structure_temp_dimer_4,0.36194959,0.459
7O27,custom_template_with_alphafold_models_0,0.36194101,0.682
7O27,ori_temp_pipeline_with_alphafold_models_0,0.36193189,0.682
7O27,sequence_based_template_with_alphafold_0,0.36193189,0.682
7O27,custom_template_file_0,0.36185715,0.427
7O27,pdb_interact_uniprot_sto_3,0.36173221,0.71
7O27,structure_temp_dimer_a_0,0.36165059,0.682
7O27,ori_temp_pipeline_with_alphafold_models_2,0.36159185,0.397
7O27,sequence_based_template_with_alphafold_2,0.36159185,0.397
7O27,structure_temp_dimer_a_2,0.36156291,0.397
7O27,custom_template_with_alphafold_models_2,0.36139268,0.397
7O27,structure_temp_dimer_0,0.36089018,0.427
7O27,ori_temp_pipeline_with_alphafold_models_4,0.36050403,0.397
7O27,sequence_based_template_with_alphafold_4,0.36050403,0.397
7O27,structure_temp_dimer_a_4,0.36049327,0.397
7O27,custom_template_with_alphafold_models_4,0.36024019,0.397
