MODEL,PRED_DOCKQ
fold_8gz5_3_model_1,0.37834924
fold_8gz5_2_model_0,0.37822443
fold_8gz5_2_model_4,0.37796667
fold_8gz5_5_model_3,0.37786466
fold_8gz5_3_model_4,0.37775591
fold_8gz5_2_model_3,0.37766171
fold_8gz5_2_model_1,0.37766129
fold_8gz5_2_model_2,0.37726283
fold_8gz5_3_model_0,0.37721381
fold_8gz5_3_model_2,0.37683269
fold_8gz5_5_model_1,0.37617502
fold_8gz5_1_model_3,0.37575588
fold_8gz5_1_model_0,0.37552977
fold_8gz5_5_model_2,0.37543821
fold_8gz5_5_model_4,0.37429672
fold_8gz5_3_model_3,0.37351042
fold_8gz5_5_model_0,0.37350312
fold_8gz5_4_model_1,0.37293118
fold_8gz5_1_model_1,0.37269303
fold_8gz5_1_model_4,0.37222037
fold_8gz5_1_model_2,0.3707132
fold_8gz5_4_model_4,0.37043223
fold_8gz5_4_model_0,0.36880168
fold_8gz5_4_model_3,0.36751333
fold_8gz5_4_model_2,0.36695653
