MODEL,PRED_DOCKQ
species_interact_uniprot_sto_0,0.37872386
uniprot_distance_uniref_a3m_0,0.37799612
species_interact_uniref_a3m_1,0.37785113
string_interact_uniref_a3m_1,0.3777619
string_interact_uniprot_sto_1,0.37711826
string_interact_uniref_sto_0,0.37679568
uniclust_oxmatch_a3m_3,0.37671453
structure_temp_dimer_a_2,0.37598079
custom_template_with_alphafold_models_2,0.37592486
sequence_based_template_with_alphafold_2,0.37592486
no_templates_1,0.37567872
string_interact_uniprot_sto_3,0.37557927
structure_temp_dimer_a_3,0.37554374
string_interact_uniprot_sto_0,0.37552565
ori_temp_pipeline_with_alphafold_models_3,0.37542713
pdb_interact_uniref_a3m_4,0.37537545
string_interact_uniprot_sto_2,0.37536097
uniprot_distance_uniref_sto_0,0.37533876
species_interact_uniprot_sto_1,0.37528589
ori_temp_pipeline_with_alphafold_models_2,0.37528455
species_interact_uniprot_sto_2,0.37525278
pdb_interact_uniref_a3m_3,0.37515932
ori_temp_pipeline_with_alphafold_models_1,0.37505081
structure_temp_dimer_a_1,0.37499356
sequence_based_template_with_alphafold_3,0.37497225
custom_template_with_alphafold_models_3,0.37497225
custom_template_with_alphafold_models_1,0.37488914
sequence_based_template_with_alphafold_1,0.37488914
string_interact_uniref_a3m_0,0.3747372
pdb_interact_uniref_a3m_1,0.37467617
string_interact_uniref_sto_1,0.3746728
species_interact_uniref_a3m_3,0.3746137
pdb_interact_uniprot_sto_0,0.37434244
species_interact_uniref_a3m_2,0.37432379
pdb_interact_uniref_a3m_0,0.3742463
uniprot_distance_uniref_sto_2,0.37407306
ori_temp_pipeline_with_alphafold_models_0,0.37403715
string_interact_uniref_a3m_3,0.3737233
no_templates_0,0.37370852
uniprot_distance_uniref_a3m_3,0.37367049
custom_template_with_alphafold_models_0,0.37364039
sequence_based_template_with_alphafold_0,0.37364039
species_interact_uniref_a3m_0,0.37362581
pdb_interact_uniref_sto_0,0.37357268
pdb_interact_uniref_sto_1,0.37348521
sequence_based_template_0,0.37334985
structure_temp_dimer_a_0,0.37332547
default_4,0.37328035
string_interact_uniprot_sto_4,0.37326074
string_interact_uniref_a3m_4,0.37325484
uniprot_distance_uniref_a3m_4,0.37324572
sequence_based_template_3,0.37319696
uniclust_oxmatch_a3m_1,0.37316781
sequence_based_template_4,0.37293831
pdb_interact_uniref_a3m_2,0.37290081
uniprot_distance_uniref_a3m_1,0.37284243
sequence_based_template_1,0.37278944
string_interact_uniref_sto_2,0.37270066
species_interact_uniref_sto_2,0.37260783
uniprot_distance_uniref_a3m_2,0.37259352
uniclust_oxmatch_a3m_4,0.37234089
string_interact_uniref_sto_4,0.37216151
string_interact_uniref_a3m_2,0.3719933
uniclust_oxmatch_a3m_2,0.37193701
custom_template_file_1,0.37193346
ori_temp_pipeline_with_alphafold_models_4,0.37193009
species_interact_uniref_sto_0,0.37190464
pdb_interact_uniprot_sto_1,0.37188721
ori_template_pipeline_1,0.37187317
uniclust_oxmatch_a3m_0,0.37183326
structure_temp_dimer_a_4,0.37151134
structure_temp_dimer_1,0.37133154
sequence_based_template_with_alphafold_4,0.37116468
custom_template_with_alphafold_models_4,0.37116468
ori_template_pipeline_3,0.37098804
ori_template_pipeline_2,0.37088147
default_1,0.37085199
sequence_based_template_2,0.37082565
default_0,0.37079665
uniprot_distance_uniprot_sto_1,0.37078175
species_interact_uniref_sto_3,0.3707343
uniprot_distance_uniprot_sto_0,0.37072715
default_3,0.37067199
pdb_interact_uniprot_sto_3,0.37052378
species_interact_uniref_sto_4,0.37042654
no_templates_3,0.37030911
custom_template_file_3,0.37029043
default_2,0.37028927
species_interact_uniref_a3m_4,0.37020048
species_interact_uniref_sto_1,0.37015745
string_interact_uniref_sto_3,0.37012994
structure_temp_dimer_3,0.37011886
structure_temp_dimer_0,0.36987326
species_interact_uniprot_sto_4,0.36972576
custom_template_file_4,0.36965224
uniprot_distance_uniref_sto_1,0.36944285
uniprot_distance_uniprot_sto_4,0.36934453
structure_temp_dimer_2,0.36930719
ori_template_pipeline_0,0.36924854
custom_template_file_0,0.36911112
custom_template_file_2,0.36906236
no_templates_4,0.36892617
pdb_interact_uniprot_sto_4,0.3688384
species_interact_uniprot_sto_3,0.3679187
structure_temp_dimer_4,0.36789411
uniprot_distance_uniprot_sto_3,0.36753079
no_templates_2,0.36743698
uniprot_distance_uniref_sto_3,0.36648312
uniprot_distance_uniref_sto_4,0.36635599
pdb_interact_uniref_sto_4,0.36613959
pdb_interact_uniref_sto_3,0.36578068
pdb_interact_uniprot_sto_2,0.36574286
ori_template_pipeline_4,0.36497751
pdb_interact_uniref_sto_2,0.364903
uniprot_distance_uniprot_sto_2,0.36472887
