MODEL,PRED_DOCKQ
uniclust_oxmatch_a3m_0,0.38568991
sequence_based_template_3,0.38372993
pdb_interact_uniprot_sto_0,0.38359678
pdb_interact_uniref_a3m_1,0.38342679
string_interact_uniref_a3m_3,0.38323501
uniprot_distance_uniprot_sto_1,0.38316926
string_interact_uniref_sto_2,0.3827849
pdb_interact_uniref_sto_3,0.3821426
species_interact_uniref_sto_0,0.38214254
species_interact_uniref_a3m_1,0.38192883
string_interact_uniprot_sto_0,0.38140765
string_interact_uniref_a3m_2,0.38139036
string_interact_uniprot_sto_1,0.3812789
species_interact_uniref_a3m_3,0.38098469
pdb_interact_uniref_a3m_4,0.38091543
sequence_based_template_4,0.38085744
pdb_interact_uniref_a3m_2,0.38069665
species_interact_uniref_a3m_0,0.38067406
uniprot_distance_uniprot_sto_0,0.38066748
default_4,0.38053817
uniprot_distance_uniprot_sto_3,0.38050905
ori_template_pipeline_1,0.38049594
string_interact_uniref_a3m_1,0.38016933
species_interact_uniprot_sto_3,0.38016674
uniprot_distance_uniref_a3m_4,0.38014951
species_interact_uniref_sto_4,0.38008469
string_interact_uniref_sto_0,0.3800613
species_interact_uniprot_sto_0,0.38000458
uniprot_distance_uniref_a3m_3,0.37988251
default_1,0.37986338
pdb_interact_uniref_sto_2,0.37966216
species_interact_uniprot_sto_2,0.37944934
string_interact_uniref_sto_4,0.37926501
pdb_interact_uniref_a3m_0,0.379062
ori_template_pipeline_4,0.37881875
uniclust_oxmatch_a3m_4,0.37868521
uniprot_distance_uniref_a3m_1,0.37860471
default_0,0.37856984
pdb_interact_uniprot_sto_1,0.37855425
ori_template_pipeline_2,0.37850383
ori_template_pipeline_3,0.37826124
string_interact_uniref_a3m_0,0.37782669
pdb_interact_uniref_sto_0,0.37763014
species_interact_uniref_a3m_4,0.37757596
uniprot_distance_uniref_a3m_0,0.37751395
sequence_based_template_0,0.37745345
sequence_based_template_1,0.37742776
uniprot_distance_uniref_a3m_2,0.37724665
species_interact_uniref_sto_3,0.37720874
uniprot_distance_uniref_sto_2,0.37707657
pdb_interact_uniprot_sto_4,0.37702125
string_interact_uniprot_sto_2,0.37690288
string_interact_uniref_sto_3,0.37682018
uniprot_distance_uniprot_sto_2,0.37642679
sequence_based_template_with_alphafold_1,0.3763774
ori_temp_pipeline_with_alphafold_models_1,0.3763774
sequence_based_template_with_alphafold_3,0.37633944
ori_temp_pipeline_with_alphafold_models_3,0.37633944
species_interact_uniref_a3m_2,0.37629941
species_interact_uniref_sto_1,0.37624636
default_3,0.37616819
default_2,0.37593502
string_interact_uniref_a3m_4,0.37580952
ori_template_pipeline_0,0.37575242
custom_template_with_alphafold_models_3,0.37571058
structure_temp_dimer_a_3,0.37566316
pdb_interact_uniprot_sto_2,0.37538475
no_templates_3,0.37528512
pdb_interact_uniref_sto_1,0.37528193
uniprot_distance_uniref_sto_1,0.37512752
uniclust_oxmatch_a3m_1,0.37511069
pdb_interact_uniref_sto_4,0.37509227
string_interact_uniprot_sto_3,0.374984
uniprot_distance_uniref_sto_0,0.37490019
string_interact_uniref_sto_1,0.37489325
custom_template_with_alphafold_models_1,0.37483966
structure_temp_dimer_a_1,0.37478366
uniclust_oxmatch_a3m_2,0.37472796
sequence_based_template_2,0.37453309
species_interact_uniprot_sto_4,0.3744697
structure_temp_dimer_3,0.37413144
uniprot_distance_uniref_sto_3,0.37391996
species_interact_uniprot_sto_1,0.3738693
custom_template_file_3,0.37384865
species_interact_uniref_sto_2,0.37359586
uniprot_distance_uniprot_sto_4,0.37340599
custom_template_with_alphafold_models_0,0.37328878
uniprot_distance_uniref_sto_4,0.37326267
ori_temp_pipeline_with_alphafold_models_0,0.37315759
sequence_based_template_with_alphafold_0,0.37315759
pdb_interact_uniref_a3m_3,0.37281048
structure_temp_dimer_a_0,0.37262338
string_interact_uniprot_sto_4,0.37238345
custom_template_file_2,0.37230507
structure_temp_dimer_2,0.37217447
uniclust_oxmatch_a3m_3,0.37214848
custom_template_file_0,0.37194687
pdb_interact_uniprot_sto_3,0.37188831
no_templates_2,0.37183064
no_templates_0,0.37179074
no_templates_1,0.37150449
ori_temp_pipeline_with_alphafold_models_2,0.3714709
sequence_based_template_with_alphafold_2,0.3714709
structure_temp_dimer_a_2,0.37136748
no_templates_4,0.3711381
custom_template_with_alphafold_models_2,0.37074795
structure_temp_dimer_4,0.3704932
structure_temp_dimer_1,0.37018293
structure_temp_dimer_0,0.37017936
custom_template_file_4,0.36983672
custom_template_file_1,0.36949286
ori_temp_pipeline_with_alphafold_models_4,0.36773777
sequence_based_template_with_alphafold_4,0.36773777
structure_temp_dimer_a_4,0.3677201
custom_template_with_alphafold_models_4,0.36764011
