MODEL,PRED_DOCKQ
fold_7sgm_2_model_4,0.43616059
fold_7sgm_1_model_1,0.41654101
fold_7sgm_4_model_2,0.40975162
fold_7sgm_3_model_3,0.38398597
fold_7sgm_1_model_3,0.37362754
fold_7sgm_5_model_4,0.34058857
fold_7sgm_5_model_0,0.32700011
fold_7sgm_5_model_2,0.32403243
fold_7sgm_1_model_4,0.31355882
fold_7sgm_2_model_2,0.29592159
fold_7sgm_2_model_0,0.27852753
fold_7sgm_2_model_1,0.27330026
fold_7sgm_4_model_4,0.21322484
fold_7sgm_1_model_0,0.19140936
fold_7sgm_4_model_0,0.18938275
fold_7sgm_3_model_1,0.1789065
fold_7sgm_5_model_3,0.17743319
fold_7sgm_4_model_1,0.16551879
fold_7sgm_3_model_4,0.14307545
fold_7sgm_3_model_0,0.13650998
fold_7sgm_1_model_2,0.11157537
fold_7sgm_3_model_2,0.10846598
fold_7sgm_2_model_3,0.10382563
fold_7sgm_5_model_1,0.0814914
fold_7sgm_4_model_3,0.06598202
