MODEL,PRED_DOCKQ
fold_7sjo_3_model_3,0.62702501
fold_7sjo_3_model_2,0.62631178
fold_7sjo_5_model_2,0.62491298
fold_7sjo_5_model_1,0.62386888
fold_7sjo_1_model_0,0.61231083
fold_7sjo_4_model_3,0.60366452
fold_7sjo_1_model_4,0.58614123
fold_7sjo_1_model_1,0.58338541
fold_7sjo_4_model_2,0.56885242
fold_7sjo_2_model_3,0.5673219
fold_7sjo_2_model_0,0.55154848
fold_7sjo_4_model_0,0.54525745
fold_7sjo_5_model_0,0.54507369
fold_7sjo_3_model_4,0.52631086
fold_7sjo_1_model_2,0.49837843
fold_7sjo_2_model_2,0.49237138
fold_7sjo_3_model_1,0.47343484
fold_7sjo_4_model_1,0.4671075
fold_7sjo_2_model_4,0.46670717
fold_7sjo_5_model_3,0.46129501
fold_7sjo_5_model_4,0.45312896
fold_7sjo_2_model_1,0.45298705
fold_7sjo_1_model_3,0.40338969
fold_7sjo_4_model_4,0.38779318
fold_7sjo_3_model_0,0.37881678
