TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7T77,fold_7t77_3_model_4,0.71397585,0.609
7T77,fold_7t77_4_model_4,0.69661307,0.594
7T77,fold_7t77_5_model_1,0.6819371,0.588
7T77,fold_7t77_3_model_0,0.67945504,0.596
7T77,fold_7t77_3_model_3,0.64540541,0.613
7T77,fold_7t77_3_model_1,0.64019632,0.606
7T77,fold_7t77_3_model_2,0.61513025,0.611
7T77,fold_7t77_2_model_0,0.60452896,0.595
7T77,fold_7t77_2_model_4,0.60054857,0.585
7T77,fold_7t77_2_model_1,0.60022891,0.589
7T77,fold_7t77_2_model_2,0.5556407,0.594
7T77,fold_7t77_5_model_4,0.55197066,0.6
7T77,fold_7t77_2_model_3,0.54937857,0.594
7T77,fold_7t77_1_model_0,0.54255974,0.588
7T77,fold_7t77_4_model_3,0.51938486,0.602
7T77,fold_7t77_1_model_1,0.44170004,0.589
7T77,fold_7t77_4_model_2,0.39285952,0.593
7T77,fold_7t77_1_model_4,0.37583748,0.588
7T77,fold_7t77_5_model_2,0.37340543,0.592
7T77,fold_7t77_5_model_3,0.36506531,0.6
7T77,fold_7t77_4_model_1,0.34984457,0.595
7T77,fold_7t77_5_model_0,0.32162714,0.605
7T77,fold_7t77_1_model_2,0.28420687,0.587
7T77,fold_7t77_1_model_3,0.25933993,0.596
7T77,fold_7t77_4_model_0,0.22826099,0.601
