TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7VYR,fold_7vyr_3_model_1,0.58980399,0.852
7VYR,fold_7vyr_5_model_4,0.5507409,0.794
7VYR,fold_7vyr_2_model_0,0.54801494,0.844
7VYR,fold_7vyr_5_model_1,0.5460304,0.791
7VYR,fold_7vyr_4_model_2,0.54206818,0.851
7VYR,fold_7vyr_3_model_2,0.53981578,0.857
7VYR,fold_7vyr_4_model_1,0.53692561,0.806
7VYR,fold_7vyr_5_model_0,0.53066909,0.731
7VYR,fold_7vyr_3_model_4,0.52295107,0.778
7VYR,fold_7vyr_2_model_2,0.52055198,0.841
7VYR,fold_7vyr_3_model_3,0.51400095,0.842
7VYR,fold_7vyr_5_model_3,0.50299203,0.843
7VYR,fold_7vyr_2_model_3,0.49632993,0.868
7VYR,fold_7vyr_4_model_3,0.49051735,0.84
7VYR,fold_7vyr_5_model_2,0.48895764,0.842
7VYR,fold_7vyr_1_model_0,0.48700213,0.845
7VYR,fold_7vyr_1_model_3,0.48440221,0.867
7VYR,fold_7vyr_1_model_1,0.47923926,0.874
7VYR,fold_7vyr_4_model_0,0.47800255,0.848
7VYR,fold_7vyr_2_model_1,0.47633988,0.845
7VYR,fold_7vyr_4_model_4,0.46131447,0.851
7VYR,fold_7vyr_3_model_0,0.46061096,0.865
7VYR,fold_7vyr_1_model_2,0.4500384,0.891
7VYR,fold_7vyr_2_model_4,0.44470212,0.726
7VYR,fold_7vyr_1_model_4,0.15658411,0.555
