MODEL,PRED_DOCKQ
fold_7x7o_1_model_0,0.66754782
fold_7x7o_5_model_4,0.65138125
fold_7x7o_3_model_2,0.59219766
fold_7x7o_4_model_2,0.57964754
fold_7x7o_1_model_2,0.5781517
fold_7x7o_4_model_1,0.55586058
fold_7x7o_3_model_3,0.54633439
fold_7x7o_4_model_4,0.54192823
fold_7x7o_1_model_4,0.53830373
fold_7x7o_5_model_1,0.53433877
fold_7x7o_5_model_3,0.52658224
fold_7x7o_2_model_4,0.4918676
fold_7x7o_4_model_0,0.48529121
fold_7x7o_2_model_2,0.48258239
fold_7x7o_5_model_0,0.47593352
fold_7x7o_4_model_3,0.47255737
fold_7x7o_2_model_0,0.45987865
fold_7x7o_3_model_4,0.4476586
fold_7x7o_3_model_1,0.44531065
fold_7x7o_1_model_3,0.38182345
fold_7x7o_2_model_3,0.35434523
fold_7x7o_5_model_2,0.35233539
fold_7x7o_1_model_1,0.33673096
fold_7x7o_2_model_1,0.33257398
fold_7x7o_3_model_0,0.30948985
