TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7Z2M,fold_7z2m_3_model_4,0.45679754,0.439
7Z2M,fold_7z2m_5_model_0,0.45678374,0.418
7Z2M,fold_7z2m_3_model_1,0.45416322,0.425
7Z2M,fold_7z2m_2_model_0,0.45009133,0.408
7Z2M,fold_7z2m_2_model_2,0.44660035,0.426
7Z2M,fold_7z2m_5_model_1,0.42910597,0.419
7Z2M,fold_7z2m_1_model_0,0.42223161,0.421
7Z2M,fold_7z2m_4_model_0,0.41021207,0.423
7Z2M,fold_7z2m_3_model_0,0.40789741,0.433
7Z2M,fold_7z2m_4_model_1,0.4037104,0.433
7Z2M,fold_7z2m_2_model_1,0.40330714,0.422
7Z2M,fold_7z2m_1_model_2,0.39563486,0.559
7Z2M,fold_7z2m_4_model_3,0.39338374,0.427
7Z2M,fold_7z2m_5_model_2,0.36282226,0.42
7Z2M,fold_7z2m_1_model_3,0.35693043,0.435
7Z2M,fold_7z2m_3_model_2,0.3524833,0.421
7Z2M,fold_7z2m_2_model_3,0.32974666,0.416
7Z2M,fold_7z2m_3_model_3,0.32256478,0.553
7Z2M,fold_7z2m_4_model_4,0.3096768,0.416
7Z2M,fold_7z2m_1_model_1,0.30685267,0.43
7Z2M,fold_7z2m_5_model_4,0.30497414,0.559
7Z2M,fold_7z2m_1_model_4,0.2818563,0.442
7Z2M,fold_7z2m_5_model_3,0.27183387,0.403
7Z2M,fold_7z2m_4_model_2,0.21722624,0.557
7Z2M,fold_7z2m_2_model_4,0.20155877,0.427
