TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7O9W,fold_7o9w_2_model_4,0.57925344,0.747
7O9W,fold_7o9w_1_model_4,0.57019502,0.618
7O9W,fold_7o9w_3_model_2,0.50947422,0.723
7O9W,fold_7o9w_5_model_4,0.48863328,0.74
7O9W,fold_7o9w_4_model_0,0.48462704,0.731
7O9W,fold_7o9w_2_model_2,0.48389477,0.643
7O9W,fold_7o9w_5_model_0,0.47551528,0.73
7O9W,fold_7o9w_2_model_3,0.47391659,0.751
7O9W,fold_7o9w_1_model_3,0.4506802,0.743
7O9W,fold_7o9w_5_model_2,0.44775569,0.722
7O9W,fold_7o9w_3_model_3,0.37209764,0.664
7O9W,fold_7o9w_5_model_1,0.3259275,0.697
7O9W,fold_7o9w_2_model_0,0.29701972,0.736
7O9W,fold_7o9w_4_model_2,0.29227942,0.629
7O9W,fold_7o9w_2_model_1,0.2851766,0.739
7O9W,fold_7o9w_3_model_4,0.28302583,0.736
7O9W,fold_7o9w_5_model_3,0.27176222,0.591
7O9W,fold_7o9w_1_model_0,0.26568025,0.641
7O9W,fold_7o9w_1_model_2,0.25817192,0.781
7O9W,fold_7o9w_3_model_1,0.25092888,0.734
7O9W,fold_7o9w_4_model_1,0.23062171,0.721
7O9W,fold_7o9w_4_model_3,0.22801404,0.655
7O9W,fold_7o9w_1_model_1,0.21341304,0.662
7O9W,fold_7o9w_3_model_0,0.20517661,0.643
7O9W,fold_7o9w_4_model_4,0.14253087,0.743
