MODEL,PRED_DOCKQ
fold_7sd3_5_model_4,0.6665979
fold_7sd3_4_model_4,0.65111512
fold_7sd3_3_model_2,0.63826817
fold_7sd3_3_model_1,0.6337527
fold_7sd3_5_model_2,0.62384462
fold_7sd3_1_model_2,0.61687225
fold_7sd3_2_model_2,0.61543941
fold_7sd3_3_model_0,0.61213523
fold_7sd3_4_model_3,0.61033964
fold_7sd3_5_model_0,0.61013168
fold_7sd3_4_model_1,0.6047821
fold_7sd3_2_model_0,0.60249919
fold_7sd3_1_model_1,0.59418786
fold_7sd3_1_model_0,0.5936814
fold_7sd3_4_model_2,0.59291017
fold_7sd3_4_model_0,0.57731497
fold_7sd3_3_model_4,0.57387489
fold_7sd3_1_model_4,0.5685491
fold_7sd3_2_model_1,0.56587005
fold_7sd3_2_model_3,0.5654946
fold_7sd3_5_model_1,0.56346262
fold_7sd3_1_model_3,0.54662567
fold_7sd3_2_model_4,0.44484067
fold_7sd3_3_model_3,0.41648492
fold_7sd3_5_model_3,0.35569763
