TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7T73,fold_7t73_3_model_1,0.62546569,0.614
7T73,fold_7t73_1_model_1,0.61837572,0.609
7T73,fold_7t73_5_model_4,0.60855967,0.596
7T73,fold_7t73_2_model_4,0.60844797,0.678
7T73,fold_7t73_3_model_2,0.58289754,0.622
7T73,fold_7t73_5_model_2,0.57798654,0.614
7T73,fold_7t73_1_model_2,0.57615227,0.604
7T73,fold_7t73_1_model_3,0.57477361,0.616
7T73,fold_7t73_3_model_0,0.56262451,0.607
7T73,fold_7t73_5_model_3,0.54549301,0.588
7T73,fold_7t73_4_model_3,0.53978544,0.607
7T73,fold_7t73_1_model_0,0.51904941,0.608
7T73,fold_7t73_3_model_3,0.48974505,0.606
7T73,fold_7t73_4_model_1,0.48458475,0.606
7T73,fold_7t73_4_model_0,0.45515165,0.614
7T73,fold_7t73_5_model_0,0.45166302,0.598
7T73,fold_7t73_2_model_1,0.42739421,0.639
7T73,fold_7t73_4_model_2,0.40202883,0.603
7T73,fold_7t73_2_model_0,0.3677046,0.617
7T73,fold_7t73_3_model_4,0.35380167,0.608
7T73,fold_7t73_1_model_4,0.34955016,0.613
7T73,fold_7t73_2_model_2,0.29116163,0.634
7T73,fold_7t73_5_model_1,0.26863971,0.611
7T73,fold_7t73_2_model_3,0.26554364,0.625
7T73,fold_7t73_4_model_4,0.22923748,0.608
