MODEL,PRED_DOCKQ
fold_7t77_3_model_0,0.59387183
fold_7t77_3_model_4,0.58657861
fold_7t77_4_model_4,0.50497991
fold_7t77_3_model_2,0.4785625
fold_7t77_3_model_1,0.45279428
fold_7t77_5_model_1,0.38266361
fold_7t77_2_model_0,0.3695232
fold_7t77_3_model_3,0.35112372
fold_7t77_2_model_1,0.30568033
fold_7t77_2_model_4,0.27451402
fold_7t77_2_model_3,0.25834656
fold_7t77_5_model_4,0.22348434
fold_7t77_2_model_2,0.22094786
fold_7t77_1_model_0,0.20211464
fold_7t77_4_model_3,0.19461049
fold_7t77_5_model_0,0.16463211
fold_7t77_1_model_1,0.16462487
fold_7t77_1_model_4,0.15518861
fold_7t77_4_model_1,0.15480502
fold_7t77_4_model_2,0.15436445
fold_7t77_5_model_3,0.13843003
fold_7t77_5_model_2,0.13546155
fold_7t77_1_model_2,0.11500663
fold_7t77_1_model_3,0.1088445
fold_7t77_4_model_0,0.10615914
