TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7WRV,fold_7wrv_4_model_4,0.48351261,0.432
7WRV,fold_7wrv_2_model_0,0.40789339,0.279
7WRV,fold_7wrv_4_model_1,0.35762748,0.449
7WRV,fold_7wrv_4_model_2,0.32490957,0.422
7WRV,fold_7wrv_1_model_1,0.25131547,0.39
7WRV,fold_7wrv_5_model_4,0.24424483,0.467
7WRV,fold_7wrv_1_model_4,0.24022926,0.273
7WRV,fold_7wrv_2_model_2,0.22819246,0.285
7WRV,fold_7wrv_5_model_2,0.21968126,0.442
7WRV,fold_7wrv_2_model_3,0.21919851,0.273
7WRV,fold_7wrv_1_model_0,0.21620953,0.386
7WRV,fold_7wrv_3_model_1,0.21297772,0.474
7WRV,fold_7wrv_2_model_1,0.19372478,0.296
7WRV,fold_7wrv_3_model_4,0.19154172,0.355
7WRV,fold_7wrv_1_model_3,0.17390376,0.292
7WRV,fold_7wrv_4_model_3,0.16527633,0.419
7WRV,fold_7wrv_5_model_0,0.1601146,0.419
7WRV,fold_7wrv_5_model_3,0.15941499,0.408
7WRV,fold_7wrv_4_model_0,0.14164905,0.447
7WRV,fold_7wrv_3_model_2,0.12528415,0.305
7WRV,fold_7wrv_1_model_2,0.11699632,0.296
7WRV,fold_7wrv_5_model_1,0.10225608,0.484
7WRV,fold_7wrv_3_model_3,0.09947472,0.281
7WRV,fold_7wrv_2_model_4,0.08672421,0.285
7WRV,fold_7wrv_3_model_0,0.08313948,0.412
