TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7YQZ,fold_7yqz_4_model_1,0.45748001,0.426
7YQZ,fold_7yqz_4_model_0,0.35176235,0.437
7YQZ,fold_7yqz_1_model_1,0.33005092,0.463
7YQZ,fold_7yqz_3_model_0,0.28435904,0.431
7YQZ,fold_7yqz_3_model_3,0.28046203,0.464
7YQZ,fold_7yqz_1_model_4,0.26701096,0.393
7YQZ,fold_7yqz_4_model_4,0.23949032,0.457
7YQZ,fold_7yqz_5_model_0,0.21737398,0.411
7YQZ,fold_7yqz_4_model_3,0.17340213,0.453
7YQZ,fold_7yqz_2_model_3,0.17029302,0.449
7YQZ,fold_7yqz_3_model_2,0.15299091,0.426
7YQZ,fold_7yqz_5_model_4,0.15118156,0.447
7YQZ,fold_7yqz_3_model_1,0.14812708,0.451
7YQZ,fold_7yqz_2_model_2,0.1471394,0.413
7YQZ,fold_7yqz_2_model_0,0.13287768,0.452
7YQZ,fold_7yqz_1_model_0,0.12361764,0.42
7YQZ,fold_7yqz_5_model_1,0.12109467,0.466
7YQZ,fold_7yqz_5_model_3,0.11969961,0.472
7YQZ,fold_7yqz_2_model_1,0.09446086,0.458
7YQZ,fold_7yqz_1_model_3,0.07206564,0.413
7YQZ,fold_7yqz_5_model_2,0.06973242,0.446
7YQZ,fold_7yqz_2_model_4,0.06770381,0.458
7YQZ,fold_7yqz_1_model_2,0.06181877,0.449
7YQZ,fold_7yqz_4_model_2,0.05936447,0.46
7YQZ,fold_7yqz_3_model_4,0.05903726,0.4
