TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7ZF9,fold_7zf9_4_model_2,0.36643884,0.871
7ZF9,fold_7zf9_3_model_1,0.32293695,0.88
7ZF9,fold_7zf9_4_model_0,0.27796248,0.898
7ZF9,fold_7zf9_3_model_2,0.27634084,0.894
7ZF9,fold_7zf9_1_model_2,0.25305006,0.841
7ZF9,fold_7zf9_4_model_4,0.24438776,0.831
7ZF9,fold_7zf9_4_model_1,0.21735708,0.881
7ZF9,fold_7zf9_3_model_4,0.21549973,0.846
7ZF9,fold_7zf9_1_model_3,0.20734411,0.844
7ZF9,fold_7zf9_5_model_0,0.20273823,0.849
7ZF9,fold_7zf9_2_model_0,0.20196253,0.89
7ZF9,fold_7zf9_3_model_0,0.19223517,0.89
7ZF9,fold_7zf9_2_model_2,0.19173503,0.891
7ZF9,fold_7zf9_3_model_3,0.1884931,0.888
7ZF9,fold_7zf9_5_model_3,0.18832554,0.892
7ZF9,fold_7zf9_4_model_3,0.18451057,0.875
7ZF9,fold_7zf9_5_model_1,0.18237825,0.911
7ZF9,fold_7zf9_1_model_4,0.1795681,0.892
7ZF9,fold_7zf9_2_model_1,0.1782252,0.898
7ZF9,fold_7zf9_5_model_4,0.17266104,0.906
7ZF9,fold_7zf9_5_model_2,0.16891409,0.867
7ZF9,fold_7zf9_2_model_3,0.16314495,0.877
7ZF9,fold_7zf9_2_model_4,0.15735087,0.887
7ZF9,fold_7zf9_1_model_0,0.12393538,0.831
7ZF9,fold_7zf9_1_model_1,0.09013405,0.904
