TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5CBA,model_5_multimer_20220423_296697,0.28330079,0.809
5CBA,model_5_multimer_20220423_294929,0.25473922,0.817
5CBA,model_5_multimer_20220423_121312,0.23017257,0.786
5CBA,ranked_1,0.23017257,0.786
5CBA,model_4_multimer_20220423_121312,0.19313931,0.746
5CBA,ranked_4,0.19313931,0.746
5CBA,model_5_multimer_20220423_663901,0.166272,0.78
5CBA,model_4_multimer_20220423_296697,0.15209448,0.763
5CBA,model_1_multimer_20220423_296697,0.1454096,0.708
5CBA,ranked_2,0.14272822,0.798
5CBA,model_2_multimer_20220423_121312,0.14272822,0.798
5CBA,model_2_multimer_20220423_296697,0.137651,0.812
5CBA,model_4_multimer_20220423_294929,0.12787111,0.765
5CBA,model_4_multimer_20220423_663901,0.11203222,0.759
5CBA,model_3_multimer_20220423_663901,0.10812433,0.761
5CBA,model_3_multimer_20220423_294929,0.09983014,0.786
5CBA,model_1_multimer_20220423_294929,0.09804955,0.791
5CBA,model_2_multimer_20220423_294929,0.09293129,0.802
5CBA,model_5_multimer_20220423_862209,0.09245584,0.81
5CBA,model_2_multimer_20220423_862209,0.08806214,0.789
5CBA,model_3_multimer_20220423_862209,0.08735356,0.75
5CBA,model_4_multimer_20220423_862209,0.08726486,0.779
5CBA,model_2_multimer_20220423_663901,0.08602267,0.787
5CBA,model_3_multimer_20220423_296697,0.08532264,0.752
5CBA,model_1_multimer_20220423_663901,0.08160394,0.806
5CBA,model_1_multimer_20220423_862209,0.07831609,0.798
5CBA,model_3_multimer_20220423_121312,0.07524773,0.761
5CBA,ranked_0,0.07524773,0.761
5CBA,ranked_3,0.05951551,0.77
5CBA,model_1_multimer_20220423_121312,0.05951551,0.77
