MODEL,PRED_DOCKQ
fold_7z2m_3_model_4,0.41024518
fold_7z2m_3_model_1,0.40950206
fold_7z2m_2_model_2,0.38379854
fold_7z2m_5_model_0,0.36746955
fold_7z2m_5_model_1,0.32539427
fold_7z2m_2_model_0,0.32341093
fold_7z2m_4_model_3,0.31547266
fold_7z2m_3_model_0,0.30592525
fold_7z2m_4_model_0,0.30014578
fold_7z2m_2_model_1,0.29405272
fold_7z2m_5_model_2,0.29023427
fold_7z2m_4_model_1,0.28393495
fold_7z2m_1_model_0,0.28163981
fold_7z2m_1_model_2,0.27088353
fold_7z2m_3_model_2,0.25833619
fold_7z2m_3_model_3,0.25432247
fold_7z2m_4_model_4,0.25243464
fold_7z2m_2_model_3,0.23395479
fold_7z2m_1_model_3,0.2306633
fold_7z2m_5_model_4,0.22878073
fold_7z2m_1_model_1,0.20698811
fold_7z2m_1_model_4,0.18994039
fold_7z2m_5_model_3,0.16747329
fold_7z2m_4_model_2,0.1505443
fold_7z2m_2_model_4,0.12252631
