MODEL,PRED_DOCKQ
fold_7o9w_1_model_1,0.39959863
fold_7o9w_1_model_4,0.39957419
fold_7o9w_1_model_3,0.39947358
fold_7o9w_2_model_4,0.39946955
fold_7o9w_3_model_2,0.39940381
fold_7o9w_2_model_1,0.39934465
fold_7o9w_3_model_1,0.39923584
fold_7o9w_1_model_0,0.39911801
fold_7o9w_2_model_2,0.39910847
fold_7o9w_5_model_3,0.3990978
fold_7o9w_4_model_2,0.39901823
fold_7o9w_3_model_3,0.39900371
fold_7o9w_5_model_0,0.39900219
fold_7o9w_3_model_4,0.39897895
fold_7o9w_4_model_0,0.39891607
fold_7o9w_4_model_1,0.39889991
fold_7o9w_4_model_3,0.39872411
fold_7o9w_5_model_4,0.39866218
fold_7o9w_2_model_0,0.39864498
fold_7o9w_2_model_3,0.39860609
fold_7o9w_3_model_0,0.39852491
fold_7o9w_1_model_2,0.39850089
fold_7o9w_5_model_2,0.39844289
fold_7o9w_5_model_1,0.39843267
fold_7o9w_4_model_4,0.39812174
