MODEL,PRED_DOCKQ
fold_7t73_2_model_4,0.40356711
fold_7t73_1_model_3,0.40321064
fold_7t73_3_model_2,0.40304771
fold_7t73_4_model_2,0.40283096
fold_7t73_1_model_2,0.40282646
fold_7t73_1_model_4,0.40271622
fold_7t73_5_model_2,0.40266699
fold_7t73_4_model_4,0.40262374
fold_7t73_3_model_0,0.40259182
fold_7t73_1_model_1,0.40253168
fold_7t73_1_model_0,0.40243098
fold_7t73_5_model_3,0.40242675
fold_7t73_5_model_4,0.40236408
fold_7t73_3_model_1,0.40230861
fold_7t73_3_model_3,0.40227234
fold_7t73_2_model_2,0.40226382
fold_7t73_4_model_3,0.40221441
fold_7t73_4_model_1,0.40220642
fold_7t73_2_model_3,0.40199506
fold_7t73_5_model_0,0.40193713
fold_7t73_4_model_0,0.40190485
fold_7t73_3_model_4,0.40182132
fold_7t73_2_model_0,0.40166619
fold_7t73_2_model_1,0.401629
fold_7t73_5_model_1,0.40154776
