MODEL,PRED_DOCKQ
fold_8gv6_3_model_3,0.39766124
fold_8gv6_5_model_4,0.39765829
fold_8gv6_3_model_2,0.39740157
fold_8gv6_3_model_0,0.39738849
fold_8gv6_5_model_0,0.39724648
fold_8gv6_1_model_4,0.39710191
fold_8gv6_2_model_1,0.3970131
fold_8gv6_4_model_3,0.3969425
fold_8gv6_3_model_4,0.3967101
fold_8gv6_3_model_1,0.39670551
fold_8gv6_5_model_3,0.39665183
fold_8gv6_1_model_3,0.39662486
fold_8gv6_2_model_0,0.39657432
fold_8gv6_2_model_2,0.39651829
fold_8gv6_4_model_4,0.39640009
fold_8gv6_5_model_1,0.39633545
fold_8gv6_1_model_0,0.39619252
fold_8gv6_4_model_1,0.39616752
fold_8gv6_5_model_2,0.39610228
fold_8gv6_1_model_1,0.39605761
fold_8gv6_4_model_2,0.39604145
fold_8gv6_2_model_4,0.39592507
fold_8gv6_1_model_2,0.39588618
fold_8gv6_4_model_0,0.39584172
fold_8gv6_2_model_3,0.39503968
