TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5KOV,model_5_multimer_20220423_018234,0.40089542,0.2
5KOV,ranked_0,0.4007422,0.183
5KOV,model_5_multimer_20220423_842283,0.4007422,0.183
5KOV,model_5_multimer_20220423_066513,0.40061355,0.187
5KOV,model_3_multimer_20220423_066513,0.40037781,0.189
5KOV,model_4_multimer_20220423_018234,0.40018433,0.254
5KOV,model_5_multimer_20220423_338795,0.40017831,0.188
5KOV,model_3_multimer_20220423_018234,0.40012738,0.216
5KOV,model_2_multimer_20220423_338795,0.40011209,0.185
5KOV,model_2_multimer_20220423_920758,0.40005699,0.193
5KOV,model_1_multimer_20220423_920758,0.40001613,0.184
5KOV,model_4_multimer_20220423_338795,0.39993995,0.18
5KOV,model_5_multimer_20220423_920758,0.39991018,0.186
5KOV,model_2_multimer_20220423_066513,0.39988393,0.185
5KOV,ranked_3,0.39984152,0.179
5KOV,model_4_multimer_20220423_842283,0.39984152,0.179
5KOV,ranked_4,0.39981133,0.19
5KOV,model_2_multimer_20220423_842283,0.39981133,0.19
5KOV,model_1_multimer_20220423_842283,0.39980212,0.18
5KOV,ranked_1,0.39980212,0.18
5KOV,model_2_multimer_20220423_018234,0.39978608,0.179
5KOV,model_1_multimer_20220423_066513,0.39975727,0.192
5KOV,model_3_multimer_20220423_920758,0.39974949,0.27
5KOV,model_4_multimer_20220423_066513,0.39974046,0.175
5KOV,model_3_multimer_20220423_338795,0.39963368,0.186
5KOV,model_4_multimer_20220423_920758,0.39963111,0.19
5KOV,model_3_multimer_20220423_842283,0.39950931,0.205
5KOV,ranked_2,0.39950931,0.205
5KOV,model_1_multimer_20220423_018234,0.39936066,0.186
5KOV,model_1_multimer_20220423_338795,0.39927569,0.21
