MODEL,PRED_DOCKQ
ori_template_pipeline_0,0.39814177
structure_temp_dimer_0,0.39798468
sequence_based_template_0,0.39792639
sequence_based_template_with_alphafold_1,0.39766175
custom_template_with_alphafold_models_1,0.39766175
uniprot_distance_uniref_a3m_0,0.39734629
pdb_interact_uniref_a3m_0,0.39734429
string_interact_uniref_a3m_0,0.39734429
structure_temp_dimer_a_1,0.39718395
species_interact_uniref_a3m_1,0.39712486
default_0,0.39697567
ori_temp_pipeline_with_alphafold_models_1,0.39697495
uniprot_distance_uniref_sto_1,0.39688909
sequence_based_template_1,0.396817
uniprot_distance_uniref_a3m_3,0.39651498
default_2,0.39617509
uniclust_oxmatch_a3m_0,0.39615631
custom_template_file_1,0.39599675
ori_template_pipeline_2,0.39594972
string_interact_uniref_sto_4,0.39586136
custom_template_file_4,0.39579159
uniprot_distance_uniref_a3m_4,0.39577019
uniclust_oxmatch_a3m_2,0.3957113
sequence_based_template_3,0.39566875
no_templates_1,0.39563411
no_templates_2,0.39562097
default_4,0.39560086
custom_template_file_0,0.39559323
ori_temp_pipeline_with_alphafold_models_2,0.39558423
sequence_based_template_2,0.3955625
structure_temp_dimer_a_2,0.39549899
sequence_based_template_with_alphafold_2,0.39543036
custom_template_with_alphafold_models_2,0.39543036
uniprot_distance_uniprot_sto_2,0.39539531
uniprot_distance_uniref_sto_0,0.39539155
species_interact_uniref_sto_0,0.39531478
ori_template_pipeline_1,0.39524511
structure_temp_dimer_2,0.39523438
species_interact_uniref_sto_1,0.3952297
structure_temp_dimer_a_0,0.39516103
custom_template_file_3,0.39505804
string_interact_uniref_a3m_3,0.39503676
pdb_interact_uniref_a3m_3,0.39503676
ori_temp_pipeline_with_alphafold_models_0,0.39495435
sequence_based_template_with_alphafold_0,0.39493003
custom_template_with_alphafold_models_0,0.39493003
species_interact_uniref_sto_3,0.39485624
string_interact_uniref_sto_0,0.39479235
structure_temp_dimer_1,0.39476162
uniclust_oxmatch_a3m_1,0.39473045
string_interact_uniprot_sto_2,0.3947283
uniprot_distance_uniref_sto_2,0.39455661
custom_template_file_2,0.3945277
species_interact_uniref_a3m_0,0.39450836
uniprot_distance_uniref_a3m_1,0.39448592
species_interact_uniprot_sto_2,0.39447275
species_interact_uniref_sto_2,0.39443988
no_templates_0,0.39435375
uniprot_distance_uniprot_sto_1,0.3943378
species_interact_uniref_a3m_2,0.39433652
structure_temp_dimer_3,0.3943353
no_templates_3,0.39430276
ori_template_pipeline_4,0.39428726
uniprot_distance_uniref_a3m_2,0.3942672
pdb_interact_uniref_a3m_2,0.39421508
string_interact_uniref_a3m_2,0.39421508
structure_temp_dimer_4,0.3941589
string_interact_uniref_a3m_1,0.39409453
pdb_interact_uniref_a3m_1,0.39409453
ori_temp_pipeline_with_alphafold_models_3,0.39400166
uniprot_distance_uniref_sto_3,0.39395222
uniclust_oxmatch_a3m_4,0.39391086
ori_temp_pipeline_with_alphafold_models_4,0.39387989
default_1,0.39380902
string_interact_uniref_sto_2,0.39380142
string_interact_uniref_a3m_4,0.39379615
pdb_interact_uniref_a3m_4,0.39379615
string_interact_uniref_sto_1,0.39375493
string_interact_uniprot_sto_1,0.39373621
sequence_based_template_with_alphafold_3,0.39369076
custom_template_with_alphafold_models_3,0.39369076
species_interact_uniref_a3m_4,0.39358601
structure_temp_dimer_a_3,0.39355236
uniprot_distance_uniref_sto_4,0.39355162
no_templates_4,0.39352813
string_interact_uniprot_sto_0,0.39351049
uniclust_oxmatch_a3m_3,0.39338472
default_3,0.39332625
species_interact_uniref_sto_4,0.39332247
sequence_based_template_with_alphafold_4,0.39330426
custom_template_with_alphafold_models_4,0.39330426
species_interact_uniprot_sto_3,0.39313671
species_interact_uniprot_sto_1,0.39312997
species_interact_uniprot_sto_0,0.39295313
structure_temp_dimer_a_4,0.39242586
string_interact_uniref_sto_3,0.392286
uniprot_distance_uniprot_sto_0,0.39219394
string_interact_uniprot_sto_3,0.39185232
ori_template_pipeline_3,0.39163944
sequence_based_template_4,0.39156678
species_interact_uniprot_sto_4,0.39156637
string_interact_uniprot_sto_4,0.39135975
species_interact_uniref_a3m_3,0.39110473
uniprot_distance_uniprot_sto_3,0.39051321
uniprot_distance_uniprot_sto_4,0.3890698
