TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7Z2M,fold_7z2m_3_model_4,0.44080484,0.439
7Z2M,fold_7z2m_4_model_4,0.4407362,0.416
7Z2M,fold_7z2m_1_model_3,0.44072619,0.435
7Z2M,fold_7z2m_3_model_3,0.44065183,0.553
7Z2M,fold_7z2m_2_model_1,0.44055733,0.422
7Z2M,fold_7z2m_1_model_4,0.4405095,0.442
7Z2M,fold_7z2m_2_model_4,0.44048315,0.427
7Z2M,fold_7z2m_1_model_1,0.44046026,0.43
7Z2M,fold_7z2m_2_model_3,0.44044787,0.416
7Z2M,fold_7z2m_4_model_0,0.44043666,0.423
7Z2M,fold_7z2m_4_model_2,0.44042674,0.557
7Z2M,fold_7z2m_3_model_2,0.44041467,0.421
7Z2M,fold_7z2m_1_model_0,0.44039428,0.421
7Z2M,fold_7z2m_4_model_3,0.44037277,0.427
7Z2M,fold_7z2m_5_model_2,0.44036818,0.42
7Z2M,fold_7z2m_2_model_2,0.44035321,0.426
7Z2M,fold_7z2m_4_model_1,0.44033688,0.433
7Z2M,fold_7z2m_5_model_1,0.44029593,0.419
7Z2M,fold_7z2m_3_model_0,0.44026822,0.433
7Z2M,fold_7z2m_3_model_1,0.44026747,0.425
7Z2M,fold_7z2m_5_model_3,0.44022098,0.403
7Z2M,fold_7z2m_5_model_4,0.44021803,0.559
7Z2M,fold_7z2m_2_model_0,0.44021747,0.408
7Z2M,fold_7z2m_1_model_2,0.44018596,0.559
7Z2M,fold_7z2m_5_model_0,0.44017228,0.418
