MODEL,PRED_DOCKQ
model_1_multimer_20220423_574203_tidy,0.4417139
model_3_multimer_20220423_751456_tidy,0.44163659
model_4_multimer_20220423_727554_tidy,0.44149807
model_3_multimer_20220423_727554_tidy,0.44147798
model_4_multimer_20220423_555805_tidy,0.44144183
ranked_4_tidy,0.44144183
model_3_multimer_20220423_555805_tidy,0.44134569
ranked_2_tidy,0.44134569
model_1_multimer_20220423_751456_tidy,0.44129413
model_4_multimer_20220423_569004_tidy,0.4412683
model_2_multimer_20220423_555805_tidy,0.44126707
ranked_1_tidy,0.44126707
model_1_multimer_20220423_555805_tidy,0.44126168
ranked_0_tidy,0.44126168
model_4_multimer_20220423_574203_tidy,0.44123778
ranked_3_tidy,0.44121346
model_5_multimer_20220423_555805_tidy,0.44121346
model_3_multimer_20220423_569004_tidy,0.44121206
model_3_multimer_20220423_574203_tidy,0.44120064
model_2_multimer_20220423_727554_tidy,0.44119945
model_5_multimer_20220423_727554_tidy,0.44118148
model_2_multimer_20220423_751456_tidy,0.44117597
model_1_multimer_20220423_727554_tidy,0.44116732
model_5_multimer_20220423_574203_tidy,0.44116709
model_5_multimer_20220423_751456_tidy,0.44116101
model_1_multimer_20220423_569004_tidy,0.44114524
model_2_multimer_20220423_569004_tidy,0.44112891
model_4_multimer_20220423_751456_tidy,0.44111884
model_5_multimer_20220423_569004_tidy,0.44109026
model_2_multimer_20220423_574203_tidy,0.44105172
