TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
4M5Z,ranked_0,0.44089934,0.617
4M5Z,model_5_multimer_20220423_928474,0.44089934,0.617
4M5Z,model_5_multimer_20220423_154353,0.4408496,0.548
4M5Z,model_4_multimer_20220423_849432,0.44084108,0.551
4M5Z,model_5_multimer_20220423_746165,0.4408288,0.555
4M5Z,model_5_multimer_20220423_823448,0.44081926,0.599
4M5Z,model_2_multimer_20220423_154353,0.44079939,0.554
4M5Z,model_2_multimer_20220423_849432,0.44079205,0.546
4M5Z,ranked_4,0.44078419,0.669
4M5Z,model_3_multimer_20220423_928474,0.44078419,0.669
4M5Z,model_2_multimer_20220423_823448,0.44076577,0.547
4M5Z,model_4_multimer_20220423_746165,0.44075426,0.561
4M5Z,ranked_3,0.44075334,0.568
4M5Z,model_4_multimer_20220423_928474,0.44075334,0.568
4M5Z,model_1_multimer_20220423_849432,0.44074449,0.6
4M5Z,model_1_multimer_20220423_746165,0.4407424,0.622
4M5Z,model_1_multimer_20220423_154353,0.44074014,0.634
4M5Z,model_5_multimer_20220423_849432,0.44073376,0.533
4M5Z,model_2_multimer_20220423_746165,0.44072953,0.56
4M5Z,model_3_multimer_20220423_154353,0.44072157,0.787
4M5Z,model_1_multimer_20220423_928474,0.44070068,0.614
4M5Z,ranked_1,0.44070068,0.614
4M5Z,model_4_multimer_20220423_823448,0.44070023,0.58
4M5Z,model_3_multimer_20220423_823448,0.44069415,0.802
4M5Z,model_1_multimer_20220423_823448,0.44068637,0.607
4M5Z,model_2_multimer_20220423_928474,0.44067121,0.578
4M5Z,ranked_2,0.44067121,0.578
4M5Z,model_4_multimer_20220423_154353,0.44066972,0.581
4M5Z,model_3_multimer_20220423_849432,0.44063202,0.776
4M5Z,model_3_multimer_20220423_746165,0.44060758,0.787
