TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5Y9J,model_3_multimer_20220423_285424,0.44381839,0.066
5Y9J,ranked_3,0.4438175,0.086
5Y9J,model_3_multimer_20220423_196616,0.4438175,0.086
5Y9J,model_3_multimer_20220423_304319,0.44379699,0.047
5Y9J,model_3_multimer_20220423_931651,0.44372204,0.093
5Y9J,model_5_multimer_20220423_931651,0.44370994,0.268
5Y9J,model_5_multimer_20220423_285424,0.44370872,0.265
5Y9J,model_4_multimer_20220423_304319,0.44369304,0.176
5Y9J,model_4_multimer_20220423_931651,0.44367445,0.034
5Y9J,model_3_multimer_20220423_050790,0.44366479,0.088
5Y9J,model_5_multimer_20220423_304319,0.44361749,0.247
5Y9J,model_1_multimer_20220423_050790,0.4436157,0.047
5Y9J,model_4_multimer_20220423_285424,0.44357523,0.121
5Y9J,model_1_multimer_20220423_931651,0.44357029,0.075
5Y9J,model_1_multimer_20220423_285424,0.44355655,0.058
5Y9J,model_5_multimer_20220423_050790,0.44354999,0.295
5Y9J,model_1_multimer_20220423_304319,0.4435035,0.077
5Y9J,model_2_multimer_20220423_931651,0.4434824,0.095
5Y9J,model_4_multimer_20220423_050790,0.44348183,0.12
5Y9J,model_4_multimer_20220423_196616,0.44347906,0.29
5Y9J,ranked_1,0.44347906,0.29
5Y9J,model_2_multimer_20220423_285424,0.44346496,0.143
5Y9J,model_2_multimer_20220423_304319,0.44346139,0.193
5Y9J,model_2_multimer_20220423_050790,0.44344771,0.133
5Y9J,model_1_multimer_20220423_196616,0.44337267,0.109
5Y9J,ranked_4,0.44337267,0.109
5Y9J,model_5_multimer_20220423_196616,0.44332117,0.47
5Y9J,ranked_0,0.44332117,0.47
5Y9J,model_2_multimer_20220423_196616,0.44329959,0.141
5Y9J,ranked_2,0.44329959,0.141
