TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7AOH,species_interact_uniref_a3m_4,0.44119453,0.008
7AOH,no_templates_1,0.44010869,0.615
7AOH,no_templates_0,0.44002995,0.59
7AOH,structure_temp_dimer_a_1,0.43998721,0.701
7AOH,custom_template_with_alphafold_models_1,0.43998677,0.701
7AOH,sequence_based_template_with_alphafold_1,0.4399839,0.701
7AOH,ori_temp_pipeline_with_alphafold_models_1,0.43998373,0.701
7AOH,no_templates_4,0.43997225,0.472
7AOH,sequence_based_template_3,0.43995827,0.901
7AOH,uniclust_oxmatch_a3m_2,0.43994546,0.91
7AOH,sequence_based_template_0,0.43993905,0.905
7AOH,custom_template_with_alphafold_models_3,0.43993905,0.699
7AOH,structure_temp_dimer_a_3,0.4399375,0.699
7AOH,ori_temp_pipeline_with_alphafold_models_3,0.43993363,0.699
7AOH,sequence_based_template_with_alphafold_3,0.43993342,0.699
7AOH,custom_template_file_4,0.43993241,0.931
7AOH,uniclust_oxmatch_a3m_0,0.43992805,0.921
7AOH,sequence_based_template_2,0.43992013,0.87
7AOH,structure_temp_dimer_0,0.43991292,0.928
7AOH,ori_temp_pipeline_with_alphafold_models_4,0.43989664,0.676
7AOH,sequence_based_template_1,0.43989605,0.9
7AOH,sequence_based_template_with_alphafold_4,0.43989605,0.676
7AOH,custom_template_with_alphafold_models_4,0.43989322,0.676
7AOH,structure_temp_dimer_a_4,0.43989086,0.676
7AOH,uniclust_oxmatch_a3m_1,0.43989035,0.919
7AOH,custom_template_file_1,0.43988848,0.928
7AOH,pdb_interact_uniprot_sto_0,0.43988755,0.887
7AOH,species_interact_uniprot_sto_0,0.43988052,0.897
7AOH,structure_temp_dimer_4,0.43987215,0.926
7AOH,default_3,0.43986744,0.915
7AOH,pdb_interact_uniref_sto_4,0.43986115,0.903
7AOH,pdb_interact_uniref_sto_0,0.43985829,0.901
7AOH,default_4,0.43985748,0.901
7AOH,ori_template_pipeline_3,0.43985659,0.905
7AOH,default_2,0.43985659,0.899
7AOH,uniprot_distance_uniprot_sto_2,0.43985564,0.889
7AOH,uniprot_distance_uniprot_sto_3,0.4398545,0.903
7AOH,species_interact_uniref_sto_3,0.43984696,0.901
7AOH,species_interact_uniprot_sto_3,0.4398464,0.905
7AOH,ori_template_pipeline_1,0.43983865,0.91
7AOH,species_interact_uniref_a3m_3,0.43983224,0.835
7AOH,uniprot_distance_uniprot_sto_0,0.4398272,0.89
7AOH,species_interact_uniref_sto_2,0.43982711,0.896
7AOH,species_interact_uniprot_sto_4,0.43982708,0.89
7AOH,structure_temp_dimer_a_2,0.43982601,0.716
7AOH,ori_temp_pipeline_with_alphafold_models_2,0.43982592,0.716
7AOH,uniprot_distance_uniref_sto_4,0.43982556,0.907
7AOH,species_interact_uniref_a3m_1,0.43982205,0.897
7AOH,sequence_based_template_with_alphafold_2,0.43981707,0.716
7AOH,species_interact_uniprot_sto_1,0.43981588,0.886
7AOH,pdb_interact_uniref_sto_2,0.43981576,0.907
7AOH,custom_template_with_alphafold_models_2,0.43981555,0.716
7AOH,pdb_interact_uniprot_sto_1,0.43981272,0.89
7AOH,default_0,0.43981254,0.915
7AOH,species_interact_uniref_sto_0,0.43980914,0.903
7AOH,ori_template_pipeline_0,0.43980619,0.895
7AOH,uniprot_distance_uniprot_sto_1,0.43980527,0.891
7AOH,species_interact_uniref_a3m_2,0.43980414,0.875
7AOH,species_interact_uniprot_sto_2,0.43980184,0.902
7AOH,structure_temp_dimer_2,0.43979502,0.93
7AOH,uniprot_distance_uniprot_sto_4,0.43979466,0.878
7AOH,ori_template_pipeline_2,0.4397918,0.904
7AOH,pdb_interact_uniref_sto_3,0.43978602,0.89
7AOH,species_interact_uniref_a3m_0,0.43978062,0.907
7AOH,ori_template_pipeline_4,0.43977898,0.887
7AOH,custom_template_file_3,0.43977666,0.923
7AOH,uniprot_distance_uniref_sto_0,0.43977419,0.897
7AOH,uniprot_distance_uniref_sto_2,0.43977177,0.904
7AOH,pdb_interact_uniprot_sto_4,0.43977123,0.868
7AOH,uniprot_distance_uniref_sto_1,0.43976989,0.889
7AOH,pdb_interact_uniref_sto_1,0.43976745,0.886
7AOH,default_1,0.43975794,0.889
7AOH,structure_temp_dimer_3,0.43975592,0.924
7AOH,species_interact_uniref_sto_1,0.43975019,0.917
7AOH,species_interact_uniref_sto_4,0.43974978,0.889
7AOH,pdb_interact_uniprot_sto_3,0.43974605,0.875
7AOH,structure_temp_dimer_1,0.43974531,0.936
7AOH,custom_template_file_2,0.43973979,0.925
7AOH,uniprot_distance_uniref_sto_3,0.43973726,0.923
7AOH,uniclust_oxmatch_a3m_4,0.43972465,0.857
7AOH,pdb_interact_uniprot_sto_2,0.43972269,0.873
7AOH,custom_template_file_0,0.4397206,0.933
7AOH,structure_temp_dimer_a_0,0.43970194,0.747
7AOH,sequence_based_template_4,0.43969202,0.878
7AOH,custom_template_with_alphafold_models_0,0.43968999,0.747
7AOH,sequence_based_template_with_alphafold_0,0.43967026,0.747
7AOH,ori_temp_pipeline_with_alphafold_models_0,0.43966916,0.747
7AOH,uniclust_oxmatch_a3m_3,0.43958867,0.897
7AOH,no_templates_2,0.43957222,0.649
7AOH,no_templates_3,0.43930814,0.582
