MODEL,PRED_DOCKQ
no_templates_3,0.43981364
no_templates_4,0.43973702
uniprot_distance_uniref_sto_0,0.43967903
pdb_interact_uniref_a3m_0,0.43966925
no_templates_1,0.43966872
uniprot_distance_uniref_sto_4,0.4396674
uniprot_distance_uniref_sto_3,0.43965653
uniprot_distance_uniref_a3m_1,0.43965387
species_interact_uniref_a3m_3,0.43965018
uniclust_oxmatch_a3m_3,0.43964797
structure_temp_dimer_3,0.4396463
uniclust_oxmatch_a3m_1,0.43964455
uniprot_distance_uniref_a3m_4,0.43964177
pdb_interact_uniprot_sto_4,0.43964067
species_interact_uniref_a3m_1,0.43963948
sequence_based_template_4,0.4396368
custom_template_file_2,0.43963414
custom_template_file_3,0.43962756
string_interact_uniref_sto_4,0.43962574
uniclust_oxmatch_a3m_2,0.43962553
species_interact_uniref_a3m_2,0.43962547
uniclust_oxmatch_a3m_4,0.43962142
species_interact_uniref_sto_1,0.43961999
pdb_interact_uniprot_sto_3,0.43961948
string_interact_uniref_a3m_1,0.43961802
default_4,0.43961021
sequence_based_template_2,0.43960917
species_interact_uniref_sto_3,0.43960351
ori_template_pipeline_4,0.43959853
default_3,0.43959761
pdb_interact_uniref_sto_2,0.43959516
uniprot_distance_uniref_sto_1,0.43959507
string_interact_uniref_a3m_0,0.43959332
sequence_based_template_3,0.43959314
uniclust_oxmatch_a3m_0,0.43959165
string_interact_uniref_a3m_3,0.43958658
string_interact_uniprot_sto_4,0.43958503
pdb_interact_uniprot_sto_2,0.43958336
pdb_interact_uniref_a3m_2,0.43958336
ori_template_pipeline_3,0.43958253
pdb_interact_uniref_sto_0,0.43958083
species_interact_uniprot_sto_3,0.43958065
species_interact_uniref_a3m_4,0.43957996
uniprot_distance_uniref_a3m_0,0.4395794
species_interact_uniref_sto_0,0.43957517
default_0,0.43957442
structure_temp_dimer_4,0.43957373
species_interact_uniprot_sto_4,0.43957323
custom_template_file_0,0.43957102
uniprot_distance_uniprot_sto_2,0.43956581
species_interact_uniref_a3m_0,0.43956485
species_interact_uniprot_sto_0,0.43956327
custom_template_file_4,0.4395605
string_interact_uniprot_sto_2,0.43955997
structure_temp_dimer_0,0.43955821
string_interact_uniref_sto_1,0.43955502
uniprot_distance_uniref_a3m_2,0.43955415
uniprot_distance_uniref_sto_2,0.43955222
structure_temp_dimer_2,0.43955219
string_interact_uniref_sto_3,0.4395484
ori_template_pipeline_2,0.43954569
pdb_interact_uniprot_sto_0,0.43954134
default_2,0.43954042
string_interact_uniref_sto_0,0.43953609
pdb_interact_uniref_sto_4,0.43953481
string_interact_uniprot_sto_0,0.4395344
sequence_based_template_0,0.43953389
pdb_interact_uniref_a3m_1,0.43953332
default_1,0.43953297
sequence_based_template_1,0.43953204
pdb_interact_uniref_a3m_3,0.43952927
no_templates_2,0.43952182
string_interact_uniref_sto_2,0.43951812
string_interact_uniprot_sto_3,0.4395152
string_interact_uniprot_sto_1,0.43951312
ori_temp_pipeline_with_alphafold_models_0,0.43951187
uniprot_distance_uniref_a3m_3,0.43950829
sequence_based_template_with_alphafold_0,0.4395079
structure_temp_dimer_a_0,0.43950737
custom_template_with_alphafold_models_0,0.43950596
pdb_interact_uniref_sto_3,0.43950367
structure_temp_dimer_a_1,0.43950254
species_interact_uniref_sto_4,0.43950233
species_interact_uniprot_sto_2,0.43950155
ori_template_pipeline_0,0.43950137
custom_template_with_alphafold_models_1,0.43949783
uniprot_distance_uniprot_sto_3,0.43949607
pdb_interact_uniprot_sto_1,0.43949217
structure_temp_dimer_1,0.43949032
sequence_based_template_with_alphafold_1,0.43949032
custom_template_file_1,0.43948838
ori_temp_pipeline_with_alphafold_models_1,0.43948692
species_interact_uniref_sto_2,0.43948442
string_interact_uniref_a3m_2,0.43948433
pdb_interact_uniref_sto_1,0.43948269
no_templates_0,0.4394812
uniprot_distance_uniprot_sto_4,0.43947807
ori_template_pipeline_1,0.43947715
species_interact_uniprot_sto_1,0.43947273
uniprot_distance_uniprot_sto_0,0.43946996
custom_template_with_alphafold_models_4,0.43945354
ori_temp_pipeline_with_alphafold_models_4,0.43945292
sequence_based_template_with_alphafold_4,0.43944451
structure_temp_dimer_a_4,0.43944198
ori_temp_pipeline_with_alphafold_models_3,0.4394331
string_interact_uniref_a3m_4,0.43943268
structure_temp_dimer_a_3,0.43942398
custom_template_with_alphafold_models_3,0.43942299
sequence_based_template_with_alphafold_3,0.43941978
ori_temp_pipeline_with_alphafold_models_2,0.43940955
structure_temp_dimer_a_2,0.43940699
custom_template_with_alphafold_models_2,0.43940338
uniprot_distance_uniprot_sto_1,0.43940246
sequence_based_template_with_alphafold_2,0.43940115
pdb_interact_uniref_a3m_4,0.43938518
