TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7R40,fold_7r40_4_model_4,0.40607375,0.673
7R40,fold_7r40_4_model_1,0.40542483,0.432
7R40,fold_7r40_1_model_4,0.4051961,0.666
7R40,fold_7r40_2_model_1,0.40502191,0.678
7R40,fold_7r40_4_model_2,0.40495622,0.667
7R40,fold_7r40_3_model_1,0.4048166,0.67
7R40,fold_7r40_1_model_2,0.40436107,0.671
7R40,fold_7r40_1_model_3,0.40435475,0.672
7R40,fold_7r40_4_model_3,0.40414825,0.671
7R40,fold_7r40_3_model_0,0.40394118,0.434
7R40,fold_7r40_5_model_3,0.40390271,0.671
7R40,fold_7r40_3_model_3,0.40390036,0.43
7R40,fold_7r40_3_model_2,0.40382564,0.673
7R40,fold_7r40_2_model_0,0.40380898,0.676
7R40,fold_7r40_5_model_0,0.40353352,0.639
7R40,fold_7r40_1_model_1,0.40350518,0.664
7R40,fold_7r40_5_model_4,0.40348724,0.674
7R40,fold_7r40_3_model_4,0.40347576,0.431
7R40,fold_7r40_1_model_0,0.40342641,0.68
7R40,fold_7r40_2_model_2,0.4031803,0.675
7R40,fold_7r40_2_model_4,0.40305462,0.679
7R40,fold_7r40_5_model_2,0.40296713,0.672
7R40,fold_7r40_5_model_1,0.40281191,0.426
7R40,fold_7r40_2_model_3,0.40246338,0.435
7R40,fold_7r40_4_model_0,0.40241858,0.678
