TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SD3,fold_7sd3_1_model_0,0.40883404,0.584
7SD3,fold_7sd3_4_model_0,0.40866756,0.576
7SD3,fold_7sd3_4_model_3,0.40864685,0.616
7SD3,fold_7sd3_5_model_4,0.4085848,0.615
7SD3,fold_7sd3_5_model_0,0.4085753,0.606
7SD3,fold_7sd3_5_model_2,0.40855849,0.619
7SD3,fold_7sd3_3_model_0,0.4083868,0.573
7SD3,fold_7sd3_3_model_2,0.40824926,0.573
7SD3,fold_7sd3_1_model_3,0.40820009,0.59
7SD3,fold_7sd3_3_model_1,0.40818968,0.586
7SD3,fold_7sd3_1_model_1,0.40817752,0.602
7SD3,fold_7sd3_2_model_0,0.4081488,0.573
7SD3,fold_7sd3_3_model_3,0.40813231,0.561
7SD3,fold_7sd3_2_model_3,0.40811348,0.57
7SD3,fold_7sd3_2_model_2,0.40807512,0.508
7SD3,fold_7sd3_3_model_4,0.40807292,0.597
7SD3,fold_7sd3_1_model_2,0.40803242,0.571
7SD3,fold_7sd3_2_model_1,0.40798312,0.576
7SD3,fold_7sd3_4_model_1,0.40798187,0.579
7SD3,fold_7sd3_5_model_1,0.40798154,0.542
7SD3,fold_7sd3_1_model_4,0.40788439,0.554
7SD3,fold_7sd3_4_model_4,0.4078697,0.622
7SD3,fold_7sd3_5_model_3,0.4078463,0.569
7SD3,fold_7sd3_4_model_2,0.40767607,0.544
7SD3,fold_7sd3_2_model_4,0.40752235,0.618
