TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5WK3,model_1_multimer_20220423_649030,0.39440212,0.098
5WK3,model_3_multimer_20220423_193447,0.39399686,0.202
5WK3,ranked_4,0.39354911,0.172
5WK3,model_2_multimer_20220423_635985,0.39354911,0.172
5WK3,model_1_multimer_20220423_193447,0.39348528,0.083
5WK3,model_4_multimer_20220423_649030,0.39337674,0.103
5WK3,model_5_multimer_20220423_199542,0.39332199,0.103
5WK3,model_5_multimer_20220423_193447,0.39328048,0.103
5WK3,model_4_multimer_20220423_635985,0.39327207,0.289
5WK3,ranked_2,0.39327207,0.289
5WK3,model_5_multimer_20220423_649030,0.39312035,0.18
5WK3,model_4_multimer_20220423_681710,0.393022,0.263
5WK3,model_2_multimer_20220423_193447,0.3929705,0.177
5WK3,model_1_multimer_20220423_199542,0.3928467,0.175
5WK3,model_5_multimer_20220423_635985,0.39282462,0.161
5WK3,ranked_3,0.39282462,0.161
5WK3,model_5_multimer_20220423_681710,0.39263827,0.169
5WK3,model_4_multimer_20220423_193447,0.39262995,0.177
5WK3,ranked_1,0.39259186,0.186
5WK3,model_1_multimer_20220423_635985,0.39259186,0.186
5WK3,model_3_multimer_20220423_199542,0.39245728,0.166
5WK3,model_2_multimer_20220423_681710,0.39241934,0.18
5WK3,model_3_multimer_20220423_635985,0.39238143,0.181
5WK3,ranked_0,0.39238143,0.181
5WK3,model_2_multimer_20220423_649030,0.39233717,0.184
5WK3,model_3_multimer_20220423_681710,0.39225838,0.221
5WK3,model_3_multimer_20220423_649030,0.39224941,0.184
5WK3,model_2_multimer_20220423_199542,0.39221251,0.166
5WK3,model_1_multimer_20220423_681710,0.39180207,0.168
5WK3,model_4_multimer_20220423_199542,0.39154401,0.153
