MODEL,PRED_DOCKQ
model_3_multimer_20220423_840023_tidy,0.39403641
ranked_3_tidy,0.39403641
model_3_multimer_20220423_266634_tidy,0.39393929
model_3_multimer_20220423_005507_tidy,0.39365578
model_3_multimer_20220423_476080_tidy,0.39323437
model_1_multimer_20220423_840023_tidy,0.39306635
ranked_0_tidy,0.39306635
model_3_multimer_20220423_965846_tidy,0.39288351
model_1_multimer_20220423_266634_tidy,0.39260113
model_5_multimer_20220423_005507_tidy,0.39258233
model_5_multimer_20220423_476080_tidy,0.39244312
model_4_multimer_20220423_005507_tidy,0.39242333
model_2_multimer_20220423_266634_tidy,0.39227882
model_5_multimer_20220423_266634_tidy,0.39224449
model_4_multimer_20220423_476080_tidy,0.39222732
model_5_multimer_20220423_965846_tidy,0.39199635
model_4_multimer_20220423_965846_tidy,0.39195386
model_5_multimer_20220423_840023_tidy,0.39192158
ranked_4_tidy,0.39192158
model_4_multimer_20220423_266634_tidy,0.39189351
model_1_multimer_20220423_965846_tidy,0.39187661
model_2_multimer_20220423_476080_tidy,0.39183423
model_4_multimer_20220423_840023_tidy,0.39178577
ranked_2_tidy,0.39178577
model_1_multimer_20220423_476080_tidy,0.39178553
model_1_multimer_20220423_005507_tidy,0.39177427
model_2_multimer_20220423_005507_tidy,0.39172781
model_2_multimer_20220423_965846_tidy,0.39153019
model_2_multimer_20220423_840023_tidy,0.39140031
ranked_1_tidy,0.39140031
