Acceptable-or-better (a): count DockQ ≥ 0.23
Medium-or-better (b): count DockQ ≥ 0.49
High (c): count DockQ ≥ 0.80

hit rate = a/b/c 

7NKZ hit rate =  10/10/8

7NKZ,uniclust_oxmatch_a3m_1,0.39976287,0.911
7NKZ,pdb_interact_uniref_sto_0,0.39972356,0.927
7NKZ,uniclust_oxmatch_a3m_2,0.39969718,0.91
7NKZ,species_interact_uniref_a3m_3,0.39968255,0.754
7NKZ,structure_temp_dimer_3,0.39963359,0.92
7NKZ,string_interact_uniprot_sto_2,0.39960742,0.929
7NKZ,uniprot_distance_uniref_a3m_1,0.39960691,0.751
7NKZ,default_0,0.39960581,0.929
7NKZ,sequence_based_template_4,0.39960089,0.921
7NKZ,uniclust_oxmatch_a3m_3,0.39959118,0.909
