TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7Z2M,fold_7z2m_4_model_1,0.11889684,0.433
7Z2M,fold_7z2m_5_model_0,0.11606444,0.418
7Z2M,fold_7z2m_2_model_4,0.10543696,0.427
7Z2M,fold_7z2m_1_model_4,0.08374869,0.442
7Z2M,fold_7z2m_3_model_4,0.08308594,0.439
7Z2M,fold_7z2m_2_model_2,0.0808195,0.426
7Z2M,fold_7z2m_2_model_1,0.08039419,0.422
7Z2M,fold_7z2m_1_model_3,0.07999527,0.435
7Z2M,fold_7z2m_1_model_0,0.07957363,0.421
7Z2M,fold_7z2m_4_model_3,0.07912829,0.427
7Z2M,fold_7z2m_1_model_2,0.07681292,0.559
7Z2M,fold_7z2m_3_model_0,0.07159668,0.433
7Z2M,fold_7z2m_3_model_1,0.07007447,0.425
7Z2M,fold_7z2m_5_model_3,0.06543854,0.403
7Z2M,fold_7z2m_5_model_1,0.06252467,0.419
7Z2M,fold_7z2m_4_model_2,0.05564549,0.557
7Z2M,fold_7z2m_5_model_4,0.05351279,0.559
7Z2M,fold_7z2m_1_model_1,0.05157751,0.43
7Z2M,fold_7z2m_5_model_2,0.04861901,0.42
7Z2M,fold_7z2m_3_model_3,0.04675903,0.553
7Z2M,fold_7z2m_2_model_0,0.04631056,0.408
7Z2M,fold_7z2m_4_model_4,0.04196235,0.416
7Z2M,fold_7z2m_4_model_0,0.04162872,0.423
7Z2M,fold_7z2m_2_model_3,0.04137849,0.416
7Z2M,fold_7z2m_3_model_2,0.03982541,0.421
