MODEL,PRED_DOCKQ
fold_7z2m_4_model_1,0.11889684
fold_7z2m_5_model_0,0.11606444
fold_7z2m_2_model_4,0.10543696
fold_7z2m_1_model_4,0.08374869
fold_7z2m_3_model_4,0.08308594
fold_7z2m_2_model_2,0.0808195
fold_7z2m_2_model_1,0.08039419
fold_7z2m_1_model_3,0.07999527
fold_7z2m_1_model_0,0.07957363
fold_7z2m_4_model_3,0.07912829
fold_7z2m_1_model_2,0.07681292
fold_7z2m_3_model_0,0.07159668
fold_7z2m_3_model_1,0.07007447
fold_7z2m_5_model_3,0.06543854
fold_7z2m_5_model_1,0.06252467
fold_7z2m_4_model_2,0.05564549
fold_7z2m_5_model_4,0.05351279
fold_7z2m_1_model_1,0.05157751
fold_7z2m_5_model_2,0.04861901
fold_7z2m_3_model_3,0.04675903
fold_7z2m_2_model_0,0.04631056
fold_7z2m_4_model_4,0.04196235
fold_7z2m_4_model_0,0.04162872
fold_7z2m_2_model_3,0.04137849
fold_7z2m_3_model_2,0.03982541
