MODEL,PRED_DOCKQ
model_1_multimer_20220423_555805_tidy,0.03589682
ranked_0_tidy,0.03589682
model_1_multimer_20220423_751456_tidy,0.03356945
model_1_multimer_20220423_569004_tidy,0.03169617
ranked_1_tidy,0.03095251
model_2_multimer_20220423_555805_tidy,0.03095251
model_2_multimer_20220423_574203_tidy,0.03087861
model_5_multimer_20220423_569004_tidy,0.03031543
model_4_multimer_20220423_574203_tidy,0.0282161
model_4_multimer_20220423_555805_tidy,0.02784382
ranked_4_tidy,0.02784382
model_2_multimer_20220423_727554_tidy,0.02778005
model_5_multimer_20220423_751456_tidy,0.02717151
model_2_multimer_20220423_751456_tidy,0.02542532
model_5_multimer_20220423_727554_tidy,0.02514495
model_3_multimer_20220423_574203_tidy,0.02194382
model_3_multimer_20220423_569004_tidy,0.02155516
ranked_2_tidy,0.01967449
model_3_multimer_20220423_555805_tidy,0.01967449
model_3_multimer_20220423_727554_tidy,0.01845564
ranked_3_tidy,0.01819637
model_5_multimer_20220423_555805_tidy,0.01819637
model_1_multimer_20220423_574203_tidy,0.01811714
model_5_multimer_20220423_574203_tidy,0.01738369
model_1_multimer_20220423_727554_tidy,0.01730686
model_2_multimer_20220423_569004_tidy,0.01694784
model_4_multimer_20220423_569004_tidy,0.01608142
model_4_multimer_20220423_751456_tidy,0.01475321
model_3_multimer_20220423_751456_tidy,0.0120621
model_4_multimer_20220423_727554_tidy,0.00997251
