TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7TYV,fold_7tyv_1_model_2,0.19351514,0.766
7TYV,fold_7tyv_3_model_4,0.14806302,0.758
7TYV,fold_7tyv_2_model_1,0.14610323,0.769
7TYV,fold_7tyv_4_model_3,0.14401357,0.664
7TYV,fold_7tyv_3_model_1,0.14358859,0.767
7TYV,fold_7tyv_2_model_4,0.13067387,0.659
7TYV,fold_7tyv_3_model_0,0.12668656,0.656
7TYV,fold_7tyv_1_model_4,0.1239215,0.754
7TYV,fold_7tyv_2_model_0,0.12070772,0.781
7TYV,fold_7tyv_5_model_4,0.11965431,0.754
7TYV,fold_7tyv_1_model_3,0.11464414,0.748
7TYV,fold_7tyv_3_model_3,0.11397303,0.659
7TYV,fold_7tyv_3_model_2,0.11053368,0.651
7TYV,fold_7tyv_2_model_2,0.10712844,0.781
7TYV,fold_7tyv_4_model_0,0.10392904,0.772
7TYV,fold_7tyv_5_model_0,0.09476487,0.751
7TYV,fold_7tyv_5_model_2,0.09213436,0.765
7TYV,fold_7tyv_5_model_1,0.09149207,0.77
7TYV,fold_7tyv_1_model_0,0.08707067,0.654
7TYV,fold_7tyv_5_model_3,0.08574561,0.759
7TYV,fold_7tyv_4_model_1,0.08337052,0.773
7TYV,fold_7tyv_1_model_1,0.0775966,0.652
7TYV,fold_7tyv_4_model_4,0.06464764,0.667
7TYV,fold_7tyv_4_model_2,0.05786858,0.653
7TYV,fold_7tyv_2_model_3,0.04909155,0.788
