MODEL,PRED_DOCKQ
fold_7tyv_1_model_2,0.19351514
fold_7tyv_3_model_4,0.14806302
fold_7tyv_2_model_1,0.14610323
fold_7tyv_4_model_3,0.14401357
fold_7tyv_3_model_1,0.14358859
fold_7tyv_2_model_4,0.13067387
fold_7tyv_3_model_0,0.12668656
fold_7tyv_1_model_4,0.1239215
fold_7tyv_2_model_0,0.12070772
fold_7tyv_5_model_4,0.11965431
fold_7tyv_1_model_3,0.11464414
fold_7tyv_3_model_3,0.11397303
fold_7tyv_3_model_2,0.11053368
fold_7tyv_2_model_2,0.10712844
fold_7tyv_4_model_0,0.10392904
fold_7tyv_5_model_0,0.09476487
fold_7tyv_5_model_2,0.09213436
fold_7tyv_5_model_1,0.09149207
fold_7tyv_1_model_0,0.08707067
fold_7tyv_5_model_3,0.08574561
fold_7tyv_4_model_1,0.08337052
fold_7tyv_1_model_1,0.0775966
fold_7tyv_4_model_4,0.06464764
fold_7tyv_4_model_2,0.05786858
fold_7tyv_2_model_3,0.04909155
